dub_temp,dub_wddir,dub_wdsp,date,dayInMonth,hour,dayOfWeek,dayOfYear,sin_hour,sin_day,cos_hour,cos_day,index,predictedGeneration,rawTemp
6.4797355606384696e+16,-4.2869235017689477e+18,-4.743935953638826e+16,2022-07-16 19:00:00+00:00,16,19,5,197,-0.9659258262890684,-0.24702218048093572,-0.9659258262890684,-0.24702218048093572,0,2.4078543e+21,24.3
6.167116739730473e+16,-3.364447216330272e+18,-3.252984653923766e+16,2022-07-16 20:00:00+00:00,16,20,5,197,-0.8660254037844386,-0.24702218048093572,-0.8660254037844386,-0.24702218048093572,1,2.1097397e+21,
5.968177490061748e+16,-3.043135251739272e+18,-1.626492326961883e+16,2022-07-16 21:00:00+00:00,16,21,5,197,-0.7071067811865477,-0.24702218048093572,-0.7071067811865477,-0.24702218048093572,2,1.7546069e+21,24.0
5.712398454773388e+16,-4.5522649951086116e+18,-2.575279517689648e+16,2022-07-16 22:00:00+00:00,16,22,5,197,-0.5000000000000004,-0.24702218048093572,-0.5000000000000004,-0.24702218048093572,3,2.0540104e+21,
5.5702989907242984e+16,-3.72929176967231e+18,-2.575279517689648e+16,2022-07-16 23:00:00+00:00,16,23,5,197,-0.2588190451025207,-0.24702218048093572,-0.2588190451025207,-0.24702218048093572,4,2.2833105e+21,22.8
5.4566194194850264e+16,-3.565526316751736e+18,-1.3554102724682358e+16,2022-07-17 00:00:00+00:00,17,0,6,198,0.0,-0.2636654927280072,0.0,-0.2636654927280072,5,1.9995137e+21,
5.28610006262612e+16,-1.7392305696248294e+18,-1.626492326961883e+16,2022-07-17 01:00:00+00:00,17,1,6,198,0.25881904510252074,-0.2636654927280072,0.25881904510252074,-0.2636654927280072,6,1.507273e+21,21.7
5.0871608129573944e+16,-1.471816095868449e+18,-2.1686564359491776e+16,2022-07-17 02:00:00+00:00,17,2,6,198,0.49999999999999994,-0.2636654927280072,0.49999999999999994,-0.2636654927280072,7,8.712226e+20,
4.916641456098488e+16,-1.834587668793771e+18,-1.7620333542087066e+16,2022-07-17 03:00:00+00:00,17,3,6,198,0.7071067811865475,-0.2636654927280072,0.7071067811865475,-0.2636654927280072,8,8.865388e+20,21.0
4.802961884859216e+16,-1.8449525708773517e+17,-1.626492326961883e+16,2022-07-17 04:00:00+00:00,17,4,6,198,0.8660254037844386,-0.2636654927280072,0.8660254037844386,-0.2636654927280072,9,6.071594e+20,
4.689282313619945e+16,-1.6998439417072227e+17,-2.033115408702354e+16,2022-07-17 05:00:00+00:00,17,5,6,198,0.9659258262890683,-0.2636654927280072,0.9659258262890683,-0.2636654927280072,10,7.971239e+19,20.1
4.973481241718123e+16,-1.6998439417072227e+17,-2.1686564359491776e+16,2022-07-17 06:00:00+00:00,17,6,6,198,1.0,-0.2636654927280072,1.0,-0.2636654927280072,11,7.5997135e+19,
5.28610006262612e+16,-9.660088741897144e+17,-2.439738490442825e+16,2022-07-17 07:00:00+00:00,17,7,6,198,0.9659258262890683,-0.2636654927280072,0.9659258262890683,-0.2636654927280072,12,3.0345536e+20,19.6
