DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2025-01-05,2025-01-06,2025-01-05T23:00:00,2025-01-05T23:30:00,4008,699,4707
2025-01-05,2025-01-06,2025-01-05T23:30:00,2025-01-06T00:00:00,3948,640,4588
2025-01-06,2025-01-06,2025-01-06T00:00:00,2025-01-06T00:30:00,3906,628,4534
2025-01-06,2025-01-06,2025-01-06T00:30:00,2025-01-06T01:00:00,3839,587,4426
2025-01-06,2025-01-06,2025-01-06T01:00:00,2025-01-06T01:30:00,3726,565,4291
2025-01-06,2025-01-06,2025-01-06T01:30:00,2025-01-06T02:00:00,3658,592,4250
2025-01-06,2025-01-06,2025-01-06T02:00:00,2025-01-06T02:30:00,3606,578,4184
2025-01-06,2025-01-06,2025-01-06T02:30:00,2025-01-06T03:00:00,3655,567,4222
2025-01-06,2025-01-06,2025-01-06T03:00:00,2025-01-06T03:30:00,3625,555,4180
2025-01-06,2025-01-06,2025-01-06T03:30:00,2025-01-06T04:00:00,3599,552,4151
2025-01-06,2025-01-06,2025-01-06T04:00:00,2025-01-06T04:30:00,3573,550,4123
2025-01-06,2025-01-06,2025-01-06T04:30:00,2025-01-06T05:00:00,3570,553,4123
2025-01-06,2025-01-06,2025-01-06T05:00:00,2025-01-06T05:30:00,3589,570,4159
2025-01-06,2025-01-06,2025-01-06T05:30:00,2025-01-06T06:00:00,3690,583,4273
2025-01-06,2025-01-06,2025-01-06T06:00:00,2025-01-06T06:30:00,3827,640,4467
2025-01-06,2025-01-06,2025-01-06T06:30:00,2025-01-06T07:00:00,4077,730,4807
2025-01-06,2025-01-06,2025-01-06T07:00:00,2025-01-06T07:30:00,4389,827,5216
2025-01-06,2025-01-06,2025-01-06T07:30:00,2025-01-06T08:00:00,4798,939,5737
2025-01-06,2025-01-06,2025-01-06T08:00:00,2025-01-06T08:30:00,4987,1029,6016
2025-01-06,2025-01-06,2025-01-06T08:30:00,2025-01-06T09:00:00,5089,1103,6192
2025-01-06,2025-01-06,2025-01-06T09:00:00,2025-01-06T09:30:00,5177,1182,6359
2025-01-06,2025-01-06,2025-01-06T09:30:00,2025-01-06T10:00:00,5274,1229,6503
2025-01-06,2025-01-06,2025-01-06T10:00:00,2025-01-06T10:30:00,5275,1245,6520
2025-01-06,2025-01-06,2025-01-06T10:30:00,2025-01-06T11:00:00,5267,1251,6518
2025-01-06,2025-01-06,2025-01-06T11:00:00,2025-01-06T11:30:00,5285,1248,6533
2025-01-06,2025-01-06,2025-01-06T11:30:00,2025-01-06T12:00:00,5275,1246,6521
2025-01-06,2025-01-06,2025-01-06T12:00:00,2025-01-06T12:30:00,5238,1237,6475
2025-01-06,2025-01-06,2025-01-06T12:30:00,2025-01-06T13:00:00,5230,1239,6469
2025-01-06,2025-01-06,2025-01-06T13:00:00,2025-01-06T13:30:00,5217,1219,6436
2025-01-06,2025-01-06,2025-01-06T13:30:00,2025-01-06T14:00:00,5148,1182,6330
2025-01-06,2025-01-06,2025-01-06T14:00:00,2025-01-06T14:30:00,5164,1169,6333
2025-01-06,2025-01-06,2025-01-06T14:30:00,2025-01-06T15:00:00,5190,1159,6349
2025-01-06,2025-01-06,2025-01-06T15:00:00,2025-01-06T15:30:00,5219,1161,6380
2025-01-06,2025-01-06,2025-01-06T15:30:00,2025-01-06T16:00:00,5299,1176,6475
2025-01-06,2025-01-06,2025-01-06T16:00:00,2025-01-06T16:30:00,5387,1199,6586
2025-01-06,2025-01-06,2025-01-06T16:30:00,2025-01-06T17:00:00,5569,1249,6818
2025-01-06,2025-01-06,2025-01-06T17:00:00,2025-01-06T17:30:00,5761,1351,7112
2025-01-06,2025-01-06,2025-01-06T17:30:00,2025-01-06T18:00:00,5850,1420,7270
2025-01-06,2025-01-06,2025-01-06T18:00:00,2025-01-06T18:30:00,5807,1385,7192
2025-01-06,2025-01-06,2025-01-06T18:30:00,2025-01-06T19:00:00,5696,1321,7017
2025-01-06,2025-01-06,2025-01-06T19:00:00,2025-01-06T19:30:00,5601,1256,6857
2025-01-06,2025-01-06,2025-01-06T19:30:00,2025-01-06T20:00:00,5529,1210,6739
2025-01-06,2025-01-06,2025-01-06T20:00:00,2025-01-06T20:30:00,5405,1148,6553
2025-01-06,2025-01-06,2025-01-06T20:30:00,2025-01-06T21:00:00,5317,1099,6416
2025-01-06,2025-01-06,2025-01-06T21:00:00,2025-01-06T21:30:00,5169,1043,6212
2025-01-06,2025-01-06,2025-01-06T21:30:00,2025-01-06T22:00:00,4999,968,5967
2025-01-06,2025-01-06,2025-01-06T22:00:00,2025-01-06T22:30:00,4779,895,5674
2025-01-06,2025-01-06,2025-01-06T22:30:00,2025-01-06T23:00:00,4558,827,5385
2025-01-06,2025-01-07,2025-01-06T23:00:00,2025-01-06T23:30:00,4385,737,5122
2025-01-06,2025-01-07,2025-01-06T23:30:00,2025-01-07T00:00:00,4343,669,5012
2025-01-07,2025-01-07,2025-01-07T00:00:00,2025-01-07T00:30:00,4142,625,4767
2025-01-07,2025-01-07,2025-01-07T00:30:00,2025-01-07T01:00:00,4016,597,4613
2025-01-07,2025-01-07,2025-01-07T01:00:00,2025-01-07T01:30:00,3916,582,4498
2025-01-07,2025-01-07,2025-01-07T01:30:00,2025-01-07T02:00:00,3841,597,4438
2025-01-07,2025-01-07,2025-01-07T02:00:00,2025-01-07T02:30:00,3812,573,4385
2025-01-07,2025-01-07,2025-01-07T02:30:00,2025-01-07T03:00:00,3834,561,4395
2025-01-07,2025-01-07,2025-01-07T03:00:00,2025-01-07T03:30:00,3801,542,4343
2025-01-07,2025-01-07,2025-01-07T03:30:00,2025-01-07T04:00:00,3771,536,4307
2025-01-07,2025-01-07,2025-01-07T04:00:00,2025-01-07T04:30:00,3726,530,4256
2025-01-07,2025-01-07,2025-01-07T04:30:00,2025-01-07T05:00:00,3701,532,4233
2025-01-07,2025-01-07,2025-01-07T05:00:00,2025-01-07T05:30:00,3700,536,4236
2025-01-07,2025-01-07,2025-01-07T05:30:00,2025-01-07T06:00:00,3785,551,4336
2025-01-07,2025-01-07,2025-01-07T06:00:00,2025-01-07T06:30:00,3950,578,4528
2025-01-07,2025-01-07,2025-01-07T06:30:00,2025-01-07T07:00:00,4219,632,4851
2025-01-07,2025-01-07,2025-01-07T07:00:00,2025-01-07T07:30:00,4554,682,5236
2025-01-07,2025-01-07,2025-01-07T07:30:00,2025-01-07T08:00:00,5000,745,5745
2025-01-07,2025-01-07,2025-01-07T08:00:00,2025-01-07T08:30:00,5202,807,6009
2025-01-07,2025-01-07,2025-01-07T08:30:00,2025-01-07T09:00:00,5274,856,6130
