DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2025-01-06,2025-01-07,2025-01-06T23:00:00,2025-01-06T23:30:00,4385,737,5122
2025-01-06,2025-01-07,2025-01-06T23:30:00,2025-01-07T00:00:00,4343,669,5012
2025-01-07,2025-01-07,2025-01-07T00:00:00,2025-01-07T00:30:00,4142,719,4861
2025-01-07,2025-01-07,2025-01-07T00:30:00,2025-01-07T01:00:00,4016,683,4699
2025-01-07,2025-01-07,2025-01-07T01:00:00,2025-01-07T01:30:00,3916,664,4580
2025-01-07,2025-01-07,2025-01-07T01:30:00,2025-01-07T02:00:00,3841,687,4528
2025-01-07,2025-01-07,2025-01-07T02:00:00,2025-01-07T02:30:00,3812,675,4487
2025-01-07,2025-01-07,2025-01-07T02:30:00,2025-01-07T03:00:00,3834,666,4500
2025-01-07,2025-01-07,2025-01-07T03:00:00,2025-01-07T03:30:00,3801,654,4455
2025-01-07,2025-01-07,2025-01-07T03:30:00,2025-01-07T04:00:00,3771,652,4423
2025-01-07,2025-01-07,2025-01-07T04:00:00,2025-01-07T04:30:00,3726,650,4376
2025-01-07,2025-01-07,2025-01-07T04:30:00,2025-01-07T05:00:00,3701,652,4353
2025-01-07,2025-01-07,2025-01-07T05:00:00,2025-01-07T05:30:00,3700,667,4367
2025-01-07,2025-01-07,2025-01-07T05:30:00,2025-01-07T06:00:00,3785,679,4464
2025-01-07,2025-01-07,2025-01-07T06:00:00,2025-01-07T06:30:00,3950,730,4680
2025-01-07,2025-01-07,2025-01-07T06:30:00,2025-01-07T07:00:00,4219,810,5029
2025-01-07,2025-01-07,2025-01-07T07:00:00,2025-01-07T07:30:00,4554,897,5451
2025-01-07,2025-01-07,2025-01-07T07:30:00,2025-01-07T08:00:00,5000,996,5996
2025-01-07,2025-01-07,2025-01-07T08:00:00,2025-01-07T08:30:00,5202,1077,6279
2025-01-07,2025-01-07,2025-01-07T08:30:00,2025-01-07T09:00:00,5274,1143,6417
2025-01-07,2025-01-07,2025-01-07T09:00:00,2025-01-07T09:30:00,5337,1213,6550
2025-01-07,2025-01-07,2025-01-07T09:30:00,2025-01-07T10:00:00,5371,1255,6626
