DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2025-01-08,2025-01-09,2025-01-08T23:00:00,2025-01-08T23:30:00,4392,888,5280
2025-01-08,2025-01-09,2025-01-08T23:30:00,2025-01-09T00:00:00,4339,823,5162
2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T00:30:00,4369,763,5132
2025-01-09,2025-01-09,2025-01-09T00:30:00,2025-01-09T01:00:00,4291,730,5021
2025-01-09,2025-01-09,2025-01-09T01:00:00,2025-01-09T01:30:00,4168,717,4885
2025-01-09,2025-01-09,2025-01-09T01:30:00,2025-01-09T02:00:00,4064,741,4805
2025-01-09,2025-01-09,2025-01-09T02:00:00,2025-01-09T02:30:00,4018,729,4747
2025-01-09,2025-01-09,2025-01-09T02:30:00,2025-01-09T03:00:00,4066,722,4788
2025-01-09,2025-01-09,2025-01-09T03:00:00,2025-01-09T03:30:00,4005,709,4714
2025-01-09,2025-01-09,2025-01-09T03:30:00,2025-01-09T04:00:00,3956,704,4660
2025-01-09,2025-01-09,2025-01-09T04:00:00,2025-01-09T04:30:00,3860,700,4560
2025-01-09,2025-01-09,2025-01-09T04:30:00,2025-01-09T05:00:00,3861,702,4563
2025-01-09,2025-01-09,2025-01-09T05:00:00,2025-01-09T05:30:00,3860,712,4572
2025-01-09,2025-01-09,2025-01-09T05:30:00,2025-01-09T06:00:00,3949,736,4685
2025-01-09,2025-01-09,2025-01-09T06:00:00,2025-01-09T06:30:00,4140,790,4930
2025-01-09,2025-01-09,2025-01-09T06:30:00,2025-01-09T07:00:00,4403,885,5288
2025-01-09,2025-01-09,2025-01-09T07:00:00,2025-01-09T07:30:00,4705,1004,5709
2025-01-09,2025-01-09,2025-01-09T07:30:00,2025-01-09T08:00:00,5065,1140,6205
2025-01-09,2025-01-09,2025-01-09T08:00:00,2025-01-09T08:30:00,5225,1242,6467
2025-01-09,2025-01-09,2025-01-09T08:30:00,2025-01-09T09:00:00,5315,1274,6589
2025-01-09,2025-01-09,2025-01-09T09:00:00,2025-01-09T09:30:00,5426,1300,6726
2025-01-09,2025-01-09,2025-01-09T09:30:00,2025-01-09T10:00:00,5479,1349,6828
2025-01-09,2025-01-09,2025-01-09T10:00:00,2025-01-09T10:30:00,5482,1346,6828
2025-01-09,2025-01-09,2025-01-09T10:30:00,2025-01-09T11:00:00,5494,1342,6836
2025-01-09,2025-01-09,2025-01-09T11:00:00,2025-01-09T11:30:00,5511,1341,6852
2025-01-09,2025-01-09,2025-01-09T11:30:00,2025-01-09T12:00:00,5525,1327,6852
2025-01-09,2025-01-09,2025-01-09T12:00:00,2025-01-09T12:30:00,5510,1325,6835
2025-01-09,2025-01-09,2025-01-09T12:30:00,2025-01-09T13:00:00,5564,1320,6884
2025-01-09,2025-01-09,2025-01-09T13:00:00,2025-01-09T13:30:00,5564,1306,6870
2025-01-09,2025-01-09,2025-01-09T13:30:00,2025-01-09T14:00:00,5509,1272,6781
2025-01-09,2025-01-09,2025-01-09T14:00:00,2025-01-09T14:30:00,5497,1253,6750
2025-01-09,2025-01-09,2025-01-09T14:30:00,2025-01-09T15:00:00,5493,1254,6747
2025-01-09,2025-01-09,2025-01-09T15:00:00,2025-01-09T15:30:00,5524,1249,6773
2025-01-09,2025-01-09,2025-01-09T15:30:00,2025-01-09T16:00:00,5589,1280,6869
2025-01-09,2025-01-09,2025-01-09T16:00:00,2025-01-09T16:30:00,5637,1306,6943
2025-01-09,2025-01-09,2025-01-09T16:30:00,2025-01-09T17:00:00,5823,1371,7194
2025-01-09,2025-01-09,2025-01-09T17:00:00,2025-01-09T17:30:00,5948,1458,7406
2025-01-09,2025-01-09,2025-01-09T17:30:00,2025-01-09T18:00:00,6050,1500,7550
2025-01-09,2025-01-09,2025-01-09T18:00:00,2025-01-09T18:30:00,6001,1462,7463
