DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2025-01-11,2025-01-12,2025-01-11T23:00:00,2025-01-11T23:30:00,4099,804,4903
2025-01-11,2025-01-12,2025-01-11T23:30:00,2025-01-12T00:00:00,4092,752,4844
2025-01-12,2025-01-12,2025-01-12T00:00:00,2025-01-12T00:30:00,4141,709,4850
2025-01-12,2025-01-12,2025-01-12T00:30:00,2025-01-12T01:00:00,4039,681,4720
2025-01-12,2025-01-12,2025-01-12T01:00:00,2025-01-12T01:30:00,3932,667,4599
2025-01-12,2025-01-12,2025-01-12T01:30:00,2025-01-12T02:00:00,3808,677,4485
2025-01-12,2025-01-12,2025-01-12T02:00:00,2025-01-12T02:30:00,3734,652,4386
2025-01-12,2025-01-12,2025-01-12T02:30:00,2025-01-12T03:00:00,3667,635,4302
2025-01-12,2025-01-12,2025-01-12T03:00:00,2025-01-12T03:30:00,3569,628,4197
2025-01-12,2025-01-12,2025-01-12T03:30:00,2025-01-12T04:00:00,3557,611,4168
2025-01-12,2025-01-12,2025-01-12T04:00:00,2025-01-12T04:30:00,3519,606,4125
2025-01-12,2025-01-12,2025-01-12T04:30:00,2025-01-12T05:00:00,3459,600,4059
2025-01-12,2025-01-12,2025-01-12T05:00:00,2025-01-12T05:30:00,3450,602,4052
2025-01-12,2025-01-12,2025-01-12T05:30:00,2025-01-12T06:00:00,3456,605,4061
2025-01-12,2025-01-12,2025-01-12T06:00:00,2025-01-12T06:30:00,3499,618,4117
2025-01-12,2025-01-12,2025-01-12T06:30:00,2025-01-12T07:00:00,3554,648,4202
2025-01-12,2025-01-12,2025-01-12T07:00:00,2025-01-12T07:30:00,3633,671,4304
2025-01-12,2025-01-12,2025-01-12T07:30:00,2025-01-12T08:00:00,3685,713,4398
2025-01-12,2025-01-12,2025-01-12T08:00:00,2025-01-12T08:30:00,3753,733,4486
2025-01-12,2025-01-12,2025-01-12T08:30:00,2025-01-12T09:00:00,3810,767,4577
2025-01-12,2025-01-12,2025-01-12T09:00:00,2025-01-12T09:30:00,3950,821,4771
2025-01-12,2025-01-12,2025-01-12T09:30:00,2025-01-12T10:00:00,4147,865,5012
2025-01-12,2025-01-12,2025-01-12T10:00:00,2025-01-12T10:30:00,4307,923,5230
2025-01-12,2025-01-12,2025-01-12T10:30:00,2025-01-12T11:00:00,4416,942,5358
2025-01-12,2025-01-12,2025-01-12T11:00:00,2025-01-12T11:30:00,4511,951,5462
2025-01-12,2025-01-12,2025-01-12T11:30:00,2025-01-12T12:00:00,4563,973,5536
2025-01-12,2025-01-12,2025-01-12T12:00:00,2025-01-12T12:30:00,4627,1011,5638
2025-01-12,2025-01-12,2025-01-12T12:30:00,2025-01-12T13:00:00,4697,1031,5728
2025-01-12,2025-01-12,2025-01-12T13:00:00,2025-01-12T13:30:00,4690,1035,5725
2025-01-12,2025-01-12,2025-01-12T13:30:00,2025-01-12T14:00:00,4672,1045,5717
2025-01-12,2025-01-12,2025-01-12T14:00:00,2025-01-12T14:30:00,4633,1018,5651
2025-01-12,2025-01-12,2025-01-12T14:30:00,2025-01-12T15:00:00,4611,1014,5625
2025-01-12,2025-01-12,2025-01-12T15:00:00,2025-01-12T15:30:00,4596,1023,5619
2025-01-12,2025-01-12,2025-01-12T15:30:00,2025-01-12T16:00:00,4622,1022,5644
2025-01-12,2025-01-12,2025-01-12T16:00:00,2025-01-12T16:30:00,4666,1032,5698
2025-01-12,2025-01-12,2025-01-12T16:30:00,2025-01-12T17:00:00,4799,1067,5866
2025-01-12,2025-01-12,2025-01-12T17:00:00,2025-01-12T17:30:00,4985,1115,6100
2025-01-12,2025-01-12,2025-01-12T17:30:00,2025-01-12T18:00:00,5165,1180,6345
2025-01-12,2025-01-12,2025-01-12T18:00:00,2025-01-12T18:30:00,5170,1179,6349
2025-01-12,2025-01-12,2025-01-12T18:30:00,2025-01-12T19:00:00,5088,1133,6221
2025-01-12,2025-01-12,2025-01-12T19:00:00,2025-01-12T19:30:00,5022,1081,6103
