TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2025-01-10,2025-01-10T02:00:00,2025-01-10T02:30:00,2179.71,750,4738,2187.48,-379.189
2025-01-10,2025-01-10T02:30:00,2025-01-10T03:00:00,2079.27,750,4738,2149.719,-240.989
2025-01-10,2025-01-10T03:00:00,2025-01-10T03:30:00,2008.02,650,4675,2131.525,-114.545
2025-01-10,2025-01-10T03:30:00,2025-01-10T04:00:00,1991.82,600,4647,2230.259,-175.079
2025-01-10,2025-01-10T04:00:00,2025-01-10T04:30:00,1992.57,500,4625,2331.212,-198.782
2025-01-10,2025-01-10T04:30:00,2025-01-10T05:00:00,1970.37,500,4601,2457.822,-327.191
2025-01-10,2025-01-10T05:00:00,2025-01-10T05:30:00,2276.32,524,4627,2584.545,-757.865
2025-01-10,2025-01-10T05:30:00,2025-01-10T06:00:00,2219.62,374,4693,2630.05,-530.669
2025-01-10,2025-01-10T06:00:00,2025-01-10T06:30:00,2345.18,79,4856,2673.218,-241.398
2025-01-10,2025-01-10T06:30:00,2025-01-10T07:00:00,3013.28,0,5166,2770.705,-617.985
2025-01-10,2025-01-10T07:00:00,2025-01-10T07:30:00,3369.34,-120,5520,2865.465,-594.805
2025-01-10,2025-01-10T07:30:00,2025-01-10T08:00:00,3659.02,-222,5991,2952.67,-398.69
2025-01-10,2025-01-10T08:00:00,2025-01-10T08:30:00,3938.459,-257,6300,3039.626,-421.085
2025-01-10,2025-01-10T08:30:00,2025-01-10T09:00:00,4218.36,-407,6393,3046.577,-464.938
2025-01-10,2025-01-10T09:00:00,2025-01-10T09:30:00,4539.5,-707,6495,3053.697,-391.198
2025-01-10,2025-01-10T09:30:00,2025-01-10T10:00:00,4572.301,-860,6622,3084.167,-174.467
2025-01-10,2025-01-10T10:00:00,2025-01-10T10:30:00,4574.95,-790,6660,3114.738,-239.688
2025-01-10,2025-01-10T10:30:00,2025-01-10T11:00:00,4416.22,-623,6648,3084.733,-229.953
2025-01-10,2025-01-10T11:00:00,2025-01-10T11:30:00,4411.72,-618,6659,3054.73,-189.45
2025-01-10,2025-01-10T11:30:00,2025-01-10T12:00:00,4259.63,-621,6663,2973.506,50.864
2025-01-10,2025-01-10T12:00:00,2025-01-10T12:30:00,4262.12,-638,6627,2892.189,110.691
2025-01-10,2025-01-10T12:30:00,2025-01-10T13:00:00,4265.55,-645,6682,2879.392,182.058
2025-01-10,2025-01-10T13:00:00,2025-01-10T13:30:00,4265.74,-699,6646,2866.471,212.789
2025-01-10,2025-01-10T13:30:00,2025-01-10T14:00:00,4260.16,-680,6582,2890.286,111.554
2025-01-10,2025-01-10T14:00:00,2025-01-10T14:30:00,4256.36,-656,6539,2913.902,24.738
2025-01-10,2025-01-10T14:30:00,2025-01-10T15:00:00,4262.01,-717,6529,2896.296,87.694
2025-01-10,2025-01-10T15:00:00,2025-01-10T15:30:00,4474.88,-784,6537,2878.812,-32.692
2025-01-10,2025-01-10T15:30:00,2025-01-10T16:00:00,4372.54,-882,6569,2847.828,230.632
2025-01-10,2025-01-10T16:00:00,2025-01-10T16:30:00,4591.15,-900,6615,2816.956,106.894
2025-01-10,2025-01-10T16:30:00,2025-01-10T17:00:00,4697.65,-900,6769,2749.311,222.039
2025-01-10,2025-01-10T17:00:00,2025-01-10T17:30:00,4773.28,-900,6995,2681.73,439.99
2025-01-10,2025-01-10T17:30:00,2025-01-10T18:00:00,4737.14,-900,7140,2585.484,717.376
2025-01-10,2025-01-10T18:00:00,2025-01-10T18:30:00,4738.201,-900,7058,2489.24,730.559
2025-01-10,2025-01-10T18:30:00,2025-01-10T19:00:00,4563.21,-900,6930,2475.466,791.324
2025-01-10,2025-01-10T19:00:00,2025-01-10T19:30:00,4510.17,-900,6765,2461.518,693.312
2025-01-10,2025-01-10T19:30:00,2025-01-10T20:00:00,4345.55,-824,6634,2454.883,657.567
2025-01-10,2025-01-10T20:00:00,2025-01-10T20:30:00,4284.95,-759,6449,2448.056,474.994
2025-01-10,2025-01-10T20:30:00,2025-01-10T21:00:00,4011.17,-607,6302,2385.952,511.878
2025-01-10,2025-01-10T21:00:00,2025-01-10T21:30:00,3914.12,-411,6140,2323.861,313.019
2025-01-10,2025-01-10T21:30:00,2025-01-10T22:00:00,3611.87,-228,5923,2322.584,216.546
2025-01-10,2025-01-10T22:00:00,2025-01-10T22:30:00,3444.93,-246,5737,2321.412,216.658
2025-01-10,2025-01-10T22:30:00,2025-01-10T23:00:00,3317.2,-279,5526,2312.289,175.511
