TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2025-01-09,2025-01-09T10:00:00,2025-01-09T10:30:00,4772.25,980,6828,859.022,216.728
2025-01-09,2025-01-09T10:30:00,2025-01-09T11:00:00,4763.451,980,6836,882.715,209.834
2025-01-09,2025-01-09T11:00:00,2025-01-09T11:30:00,4867.9,980,6852,876.783,127.317
2025-01-09,2025-01-09T11:30:00,2025-01-09T12:00:00,4871.1,980,6852,816.168,184.732
2025-01-09,2025-01-09T12:00:00,2025-01-09T12:30:00,4867.25,980,6835,754.568,233.182
2025-01-09,2025-01-09T12:30:00,2025-01-09T13:00:00,4867.74,980,6884,722.944,313.315
2025-01-09,2025-01-09T13:00:00,2025-01-09T13:30:00,4869.4,980,6870,691.096,329.503
2025-01-09,2025-01-09T13:30:00,2025-01-09T14:00:00,4871.331,980,6781,623.654,306.015
2025-01-09,2025-01-09T14:00:00,2025-01-09T14:30:00,4882.38,980,6750,558.122,329.498
2025-01-09,2025-01-09T14:30:00,2025-01-09T15:00:00,4885.131,980,6747,458.041,423.828
2025-01-09,2025-01-09T15:00:00,2025-01-09T15:30:00,5231.931,980,6773,364.097,196.972
2025-01-09,2025-01-09T15:30:00,2025-01-09T16:00:00,5283.08,980,6869,301.958,303.962
2025-01-09,2025-01-09T16:00:00,2025-01-09T16:30:00,5349.201,980,6943,242.347,371.452
2025-01-09,2025-01-09T16:30:00,2025-01-09T17:00:00,5349.901,980,7194,220.631,643.468
2025-01-09,2025-01-09T17:00:00,2025-01-09T17:30:00,5520.771,980,7406,199.36,705.869
2025-01-09,2025-01-09T17:30:00,2025-01-09T18:00:00,5506.471,980,7550,202.915,860.614
2025-01-09,2025-01-09T18:00:00,2025-01-09T18:30:00,5540.311,980,7463,205.571,737.118
2025-01-09,2025-01-09T18:30:00,2025-01-09T19:00:00,5356.9,980,7328,241.413,749.687
2025-01-09,2025-01-09T19:00:00,2025-01-09T19:30:00,5350.7,980,7179,276.614,571.686
2025-01-09,2025-01-09T19:30:00,2025-01-09T20:00:00,5024.521,980,7034,323.743,705.736
2025-01-09,2025-01-09T20:00:00,2025-01-09T20:30:00,4920.821,980,6823,370.989,551.189
2025-01-09,2025-01-09T20:30:00,2025-01-09T21:00:00,4616.15,980,6672,508.343,567.507
2025-01-09,2025-01-09T21:00:00,2025-01-09T21:30:00,4617.25,980,6483,646.734,239.016
2025-01-09,2025-01-09T21:30:00,2025-01-09T22:00:00,4175.07,980,6232,791.578,285.352
2025-01-09,2025-01-09T22:00:00,2025-01-09T22:30:00,4164.52,963,5946,932.553,-114.073
2025-01-09,2025-01-09T22:30:00,2025-01-09T23:00:00,3711.55,813,5710,1062.854,122.596
