from,to,latitude,longitude,altitude,temperature,windDirection,windSpeed,windGust,globalRadiation,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds
2025-01-04T10:00:00Z,2025-01-04T10:00:00Z,53.3060,-6.4390,50,1.6,56.0,1.0,2.4,26.4,75.9,1014.2,100.0,0.0,7.4,100.0
2025-01-04T09:00:00Z,2025-01-04T10:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T11:00:00Z,2025-01-04T11:00:00Z,53.3060,-6.4390,50,2.2,82.5,1.9,2.6,61.8,76.4,1013.1,100.0,0.0,9.2,100.0
2025-01-04T10:00:00Z,2025-01-04T11:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T12:00:00Z,2025-01-04T12:00:00Z,53.3060,-6.4390,50,2.8,87.2,1.6,3.3,85.9,73.8,1011.7,100.0,0.0,21.1,100.0
2025-01-04T11:00:00Z,2025-01-04T12:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T13:00:00Z,2025-01-04T13:00:00Z,53.3060,-6.4390,50,3.2,55.9,1.7,3.9,79.5,70.1,1010.4,100.0,2.6,53.8,100.0
2025-01-04T12:00:00Z,2025-01-04T13:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T14:00:00Z,2025-01-04T14:00:00Z,53.3060,-6.4390,50,3.2,87.2,3.1,4.5,54.0,70.8,1008.9,100.0,93.1,95.8,100.0
2025-01-04T13:00:00Z,2025-01-04T14:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T15:00:00Z,2025-01-04T15:00:00Z,53.3060,-6.4390,50,2.6,82.9,2.4,4.9,28.4,81.3,1007.4,100.0,93.4,100.0,100.0
2025-01-04T14:00:00Z,2025-01-04T15:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T16:00:00Z,2025-01-04T16:00:00Z,53.3060,-6.4390,50,2.3,78.7,2.9,5.0,8.9,90.7,1006.2,100.0,99.3,100.0,100.0
2025-01-04T15:00:00Z,2025-01-04T16:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T17:00:00Z,2025-01-04T17:00:00Z,53.3060,-6.4390,50,2.5,76.4,2.4,5.2,0.3,93.4,1005.0,100.0,99.2,100.0,100.0
2025-01-04T16:00:00Z,2025-01-04T17:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T18:00:00Z,2025-01-04T18:00:00Z,53.3060,-6.4390,50,2.5,99.2,3.6,6.1,0.0,92.5,1003.7,100.0,99.1,100.0,100.0
2025-01-04T17:00:00Z,2025-01-04T18:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T19:00:00Z,2025-01-04T19:00:00Z,53.3060,-6.4390,50,2.5,102.7,4.4,7.9,0.0,90.9,1002.8,100.0,99.4,100.0,100.0
2025-01-04T18:00:00Z,2025-01-04T19:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T20:00:00Z,2025-01-04T20:00:00Z,53.3060,-6.4390,50,1.8,96.4,5.1,9.9,0.0,94.5,1001.3,100.0,100.0,100.0,100.0
2025-01-04T19:00:00Z,2025-01-04T20:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T21:00:00Z,2025-01-04T21:00:00Z,53.3060,-6.4390,50,1.6,88.0,6.4,11.8,0.0,95.1,999.7,100.0,99.2,100.0,100.0
2025-01-04T20:00:00Z,2025-01-04T21:00:00Z,53.3060,-6.4390,50,,,,,,,,,,,
2025-01-04T22:00:00Z,2025-01-04T22:00:00Z,53.3060,-6.4390,50,1.5,76.5,7.1,12.9,0.0,94.4,998.3,100.0,100.0,100.0,100.0
