from,to,latitude,longitude,altitude,temperature,windDirection,windSpeed,windGust,globalRadiation,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds
2025-01-04T10:00:00Z,2025-01-04T10:00:00Z,55.3720,-7.3390,0,3.2,185.7,4.6,8.0,20.5,89.6,1012.0,100.0,10.2,2.9,100.0
2025-01-04T09:00:00Z,2025-01-04T10:00:00Z,55.3720,-7.3390,0,,,,,,,,,,,
2025-01-04T11:00:00Z,2025-01-04T11:00:00Z,55.3720,-7.3390,0,3.9,190.7,4.7,7.2,68.9,86.9,1011.5,100.0,23.7,56.2,100.0
2025-01-04T10:00:00Z,2025-01-04T11:00:00Z,55.3720,-7.3390,0,,,,,,,,,,,
2025-01-04T12:00:00Z,2025-01-04T12:00:00Z,55.3720,-7.3390,0,3.9,183.8,4.6,7.1,103.0,85.9,1010.5,100.0,50.8,77.2,100.0
2025-01-04T11:00:00Z,2025-01-04T12:00:00Z,55.3720,-7.3390,0,,,,,,,,,,,
2025-01-04T13:00:00Z,2025-01-04T13:00:00Z,55.3720,-7.3390,0,4.4,188.3,4.2,7.0,112.6,83.0,1009.6,100.0,38.2,78.8,100.0
2025-01-04T12:00:00Z,2025-01-04T13:00:00Z,55.3720,-7.3390,0,,,,,,,,,,,
2025-01-04T14:00:00Z,2025-01-04T14:00:00Z,55.3720,-7.3390,0,4.3,170.3,4.0,6.5,106.9,82.6,1008.3,100.0,9.5,13.6,100.0
2025-01-04T13:00:00Z,2025-01-04T14:00:00Z,55.3720,-7.3390,0,,,,,,,,,,,
2025-01-04T15:00:00Z,2025-01-04T15:00:00Z,55.3720,-7.3390,0,3.7,167.9,3.6,6.0,69.2,81.9,1007.4,100.0,1.9,3.0,100.0
2025-01-04T14:00:00Z,2025-01-04T15:00:00Z,55.3720,-7.3390,0,,,,,,,,,,,
2025-01-04T16:00:00Z,2025-01-04T16:00:00Z,55.3720,-7.3390,0,3.2,170.0,3.8,5.4,23.6,81.4,1006.9,100.0,0.4,1.0,100.0
