from,to,latitude,longitude,altitude,temperature,windDirection,windSpeed,windGust,globalRadiation,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds
2025-01-04T08:00:00Z,2025-01-04T08:00:00Z,53.9240,-9.5730,11,1.4,90.4,2.0,2.1,0.0,96.9,1014.2,100.0,45.0,88.5,100.0
2025-01-04T07:00:00Z,2025-01-04T08:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T09:00:00Z,2025-01-04T09:00:00Z,53.9240,-9.5730,11,1.5,64.6,1.6,2.3,0.0,96.5,1013.6,100.0,41.5,98.9,100.0
2025-01-04T08:00:00Z,2025-01-04T09:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T10:00:00Z,2025-01-04T10:00:00Z,53.9240,-9.5730,11,1.6,22.4,1.1,2.7,12.3,95.1,1013.0,100.0,30.0,96.1,100.0
2025-01-04T09:00:00Z,2025-01-04T10:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T11:00:00Z,2025-01-04T11:00:00Z,53.9240,-9.5730,11,2.1,37.6,0.8,3.3,42.1,91.5,1011.9,100.0,4.7,28.2,100.0
2025-01-04T10:00:00Z,2025-01-04T11:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T12:00:00Z,2025-01-04T12:00:00Z,53.9240,-9.5730,11,2.4,79.0,2.4,3.8,76.8,80.1,1010.7,100.0,0.0,4.8,100.0
2025-01-04T11:00:00Z,2025-01-04T12:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T13:00:00Z,2025-01-04T13:00:00Z,53.9240,-9.5730,11,2.3,80.5,2.5,4.1,82.5,83.8,1009.5,100.0,0.0,56.0,100.0
2025-01-04T12:00:00Z,2025-01-04T13:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T14:00:00Z,2025-01-04T14:00:00Z,53.9240,-9.5730,11,2.3,82.7,2.4,4.5,64.9,80.8,1008.1,100.0,0.0,54.3,100.0
2025-01-04T13:00:00Z,2025-01-04T14:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T15:00:00Z,2025-01-04T15:00:00Z,53.9240,-9.5730,11,2.3,76.4,2.7,4.9,41.5,73.4,1006.8,100.0,0.0,86.8,100.0
2025-01-04T14:00:00Z,2025-01-04T15:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T16:00:00Z,2025-01-04T16:00:00Z,53.9240,-9.5730,11,2.0,62.3,3.1,5.3,19.1,69.5,1005.9,100.0,0.0,99.0,100.0
2025-01-04T15:00:00Z,2025-01-04T16:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T17:00:00Z,2025-01-04T17:00:00Z,53.9240,-9.5730,11,1.6,55.4,3.4,5.8,1.3,73.0,1005.0,100.0,12.1,100.0,100.0
2025-01-04T16:00:00Z,2025-01-04T17:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T18:00:00Z,2025-01-04T18:00:00Z,53.9240,-9.5730,11,1.5,63.9,4.1,6.6,0.0,73.6,1003.9,100.0,86.9,100.0,100.0
2025-01-04T17:00:00Z,2025-01-04T18:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T19:00:00Z,2025-01-04T19:00:00Z,53.9240,-9.5730,11,1.4,64.2,4.3,7.4,0.0,83.3,1002.6,100.0,92.5,100.0,100.0
2025-01-04T18:00:00Z,2025-01-04T19:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T20:00:00Z,2025-01-04T20:00:00Z,53.9240,-9.5730,11,1.1,57.6,4.6,8.1,0.0,87.1,1001.6,100.0,95.1,100.0,100.0
2025-01-04T19:00:00Z,2025-01-04T20:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T21:00:00Z,2025-01-04T21:00:00Z,53.9240,-9.5730,11,1.1,56.4,4.5,8.6,0.0,88.1,1000.8,100.0,96.9,100.0,100.0
2025-01-04T20:00:00Z,2025-01-04T21:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T22:00:00Z,2025-01-04T22:00:00Z,53.9240,-9.5730,11,1.2,53.5,5.9,9.2,0.0,91.4,999.3,100.0,92.2,100.0,100.0
2025-01-04T21:00:00Z,2025-01-04T22:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-04T23:00:00Z,2025-01-04T23:00:00Z,53.9240,-9.5730,11,1.4,46.6,6.2,9.7,0.0,90.4,997.9,100.0,90.4,99.9,100.0
2025-01-04T22:00:00Z,2025-01-04T23:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,53.9240,-9.5730,11,1.7,33.2,5.6,10.1,0.0,93.2,996.5,100.0,84.6,100.0,100.0
2025-01-04T23:00:00Z,2025-01-05T00:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T01:00:00Z,2025-01-05T01:00:00Z,53.9240,-9.5730,11,1.7,30.5,5.1,10.0,0.0,94.8,995.1,100.0,90.5,100.0,100.0
2025-01-05T00:00:00Z,2025-01-05T01:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T02:00:00Z,2025-01-05T02:00:00Z,53.9240,-9.5730,11,2.0,30.6,5.4,10.2,0.0,94.1,994.1,100.0,92.8,99.4,99.3
2025-01-05T01:00:00Z,2025-01-05T02:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T03:00:00Z,2025-01-05T03:00:00Z,53.9240,-9.5730,11,2.1,27.4,6.3,10.5,0.0,93.1,992.8,100.0,87.4,100.0,100.0
2025-01-05T02:00:00Z,2025-01-05T03:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T04:00:00Z,2025-01-05T04:00:00Z,53.9240,-9.5730,11,2.3,28.2,6.7,11.4,0.0,92.6,991.6,100.0,80.3,100.0,100.0
2025-01-05T03:00:00Z,2025-01-05T04:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T05:00:00Z,2025-01-05T05:00:00Z,53.9240,-9.5730,11,2.5,25.6,7.5,11.9,0.0,92.0,990.6,100.0,77.5,100.0,100.0
2025-01-05T04:00:00Z,2025-01-05T05:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T06:00:00Z,2025-01-05T06:00:00Z,53.9240,-9.5730,11,2.5,28.6,7.5,12.3,0.0,90.9,990.2,100.0,89.5,100.0,100.0
2025-01-05T05:00:00Z,2025-01-05T06:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T07:00:00Z,2025-01-05T07:00:00Z,53.9240,-9.5730,11,2.3,28.2,7.2,12.2,0.0,91.4,989.7,100.0,87.6,100.0,100.0
2025-01-05T06:00:00Z,2025-01-05T07:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
2025-01-05T08:00:00Z,2025-01-05T08:00:00Z,53.9240,-9.5730,11,2.3,24.5,6.2,11.9,0.0,91.4,989.4,100.0,94.0,100.0,100.0
2025-01-05T07:00:00Z,2025-01-05T08:00:00Z,53.9240,-9.5730,11,,,,,,,,,,,
