from,to,latitude,longitude,altitude,temperature,windDirection,windSpeed,windGust,globalRadiation,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds
2025-01-04T10:00:00Z,2025-01-04T10:00:00Z,54.4940,-8.2430,5,0.9,50.8,2.3,4.2,21.9,93.9,1012.7,100.0,0.1,0.0,100.0
2025-01-04T09:00:00Z,2025-01-04T10:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T11:00:00Z,2025-01-04T11:00:00Z,54.4940,-8.2430,5,1.3,83.3,2.4,4.3,67.0,94.3,1012.0,100.0,0.0,0.0,100.0
2025-01-04T10:00:00Z,2025-01-04T11:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T12:00:00Z,2025-01-04T12:00:00Z,54.4940,-8.2430,5,2.0,96.1,2.6,4.5,101.5,90.7,1011.1,100.0,0.0,0.0,100.0
2025-01-04T11:00:00Z,2025-01-04T12:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T13:00:00Z,2025-01-04T13:00:00Z,54.4940,-8.2430,5,2.1,97.9,2.9,4.6,102.6,87.9,1009.9,100.0,0.0,1.2,100.0
2025-01-04T12:00:00Z,2025-01-04T13:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T14:00:00Z,2025-01-04T14:00:00Z,54.4940,-8.2430,5,1.9,101.9,3.4,4.9,83.0,84.6,1008.6,100.0,0.0,10.5,100.0
2025-01-04T13:00:00Z,2025-01-04T14:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T15:00:00Z,2025-01-04T15:00:00Z,54.4940,-8.2430,5,1.7,94.4,3.4,5.1,53.1,86.0,1007.5,100.0,0.0,18.4,100.0
2025-01-04T14:00:00Z,2025-01-04T15:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T16:00:00Z,2025-01-04T16:00:00Z,54.4940,-8.2430,5,1.1,87.2,3.2,5.0,20.4,89.9,1006.5,100.0,0.0,75.9,100.0
2025-01-04T15:00:00Z,2025-01-04T16:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T17:00:00Z,2025-01-04T17:00:00Z,54.4940,-8.2430,5,0.6,88.8,3.4,5.0,0.7,89.3,1005.7,100.0,0.0,74.6,100.0
2025-01-04T16:00:00Z,2025-01-04T17:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T18:00:00Z,2025-01-04T18:00:00Z,54.4940,-8.2430,5,0.5,89.6,3.4,5.1,0.0,89.2,1004.8,100.0,0.3,97.5,100.0
2025-01-04T17:00:00Z,2025-01-04T18:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T19:00:00Z,2025-01-04T19:00:00Z,54.4940,-8.2430,5,0.6,91.4,2.9,5.2,0.0,90.4,1003.6,100.0,20.2,99.9,100.0
2025-01-04T18:00:00Z,2025-01-04T19:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T20:00:00Z,2025-01-04T20:00:00Z,54.4940,-8.2430,5,0.7,91.7,3.2,5.3,0.0,92.3,1002.4,100.0,80.0,100.0,100.0
2025-01-04T19:00:00Z,2025-01-04T20:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T21:00:00Z,2025-01-04T21:00:00Z,54.4940,-8.2430,5,0.8,85.8,3.5,5.4,0.0,93.6,1001.3,100.0,94.4,100.0,100.0
2025-01-04T20:00:00Z,2025-01-04T21:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T22:00:00Z,2025-01-04T22:00:00Z,54.4940,-8.2430,5,0.7,75.2,3.3,5.6,0.0,94.5,1000.4,100.0,99.6,100.0,100.0
2025-01-04T21:00:00Z,2025-01-04T22:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-04T23:00:00Z,2025-01-04T23:00:00Z,54.4940,-8.2430,5,0.9,92.1,4.1,5.9,0.0,95.9,999.2,100.0,91.4,99.8,100.0
2025-01-04T22:00:00Z,2025-01-04T23:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,54.4940,-8.2430,5,1.3,66.1,5.0,6.5,0.0,95.6,997.5,100.0,70.8,97.5,100.0
2025-01-04T23:00:00Z,2025-01-05T00:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T01:00:00Z,2025-01-05T01:00:00Z,54.4940,-8.2430,5,1.5,55.8,4.0,6.9,0.0,94.9,996.2,100.0,67.5,99.6,100.0
2025-01-05T00:00:00Z,2025-01-05T01:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T02:00:00Z,2025-01-05T02:00:00Z,54.4940,-8.2430,5,1.6,48.7,4.5,7.1,0.0,94.5,994.9,100.0,86.6,99.3,100.0
2025-01-05T01:00:00Z,2025-01-05T02:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T03:00:00Z,2025-01-05T03:00:00Z,54.4940,-8.2430,5,1.6,45.5,4.6,7.4,0.0,94.4,994.1,100.0,76.4,100.0,100.0
2025-01-05T02:00:00Z,2025-01-05T03:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T04:00:00Z,2025-01-05T04:00:00Z,54.4940,-8.2430,5,1.6,44.0,4.7,7.7,0.0,93.8,993.2,100.0,86.0,99.9,100.0
2025-01-05T03:00:00Z,2025-01-05T04:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T05:00:00Z,2025-01-05T05:00:00Z,54.4940,-8.2430,5,1.5,44.8,4.5,7.9,0.0,93.9,992.0,100.0,77.9,99.6,100.0
2025-01-05T04:00:00Z,2025-01-05T05:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T06:00:00Z,2025-01-05T06:00:00Z,54.4940,-8.2430,5,1.4,43.0,4.9,7.8,0.0,93.0,991.1,100.0,67.8,99.5,100.0
2025-01-05T05:00:00Z,2025-01-05T06:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T07:00:00Z,2025-01-05T07:00:00Z,54.4940,-8.2430,5,1.4,38.4,4.4,7.6,0.0,92.2,990.3,100.0,50.6,97.3,100.0
2025-01-05T06:00:00Z,2025-01-05T07:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T08:00:00Z,2025-01-05T08:00:00Z,54.4940,-8.2430,5,1.3,29.5,4.2,7.3,0.0,92.8,989.9,100.0,46.8,99.6,100.0
2025-01-05T07:00:00Z,2025-01-05T08:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T09:00:00Z,2025-01-05T09:00:00Z,54.4940,-8.2430,5,1.4,24.9,4.8,7.2,0.0,92.6,989.7,100.0,55.7,99.8,100.0
2025-01-05T08:00:00Z,2025-01-05T09:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T10:00:00Z,2025-01-05T10:00:00Z,54.4940,-8.2430,5,1.9,20.6,4.9,7.2,10.8,91.8,989.4,100.0,83.6,97.7,100.0
2025-01-05T09:00:00Z,2025-01-05T10:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T11:00:00Z,2025-01-05T11:00:00Z,54.4940,-8.2430,5,2.3,20.7,4.2,7.5,36.8,92.2,988.8,100.0,82.6,97.8,100.0
2025-01-05T10:00:00Z,2025-01-05T11:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T12:00:00Z,2025-01-05T12:00:00Z,54.4940,-8.2430,5,2.6,28.8,4.1,7.6,64.1,91.6,988.4,100.0,84.7,99.7,100.0
2025-01-05T11:00:00Z,2025-01-05T12:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T13:00:00Z,2025-01-05T13:00:00Z,54.4940,-8.2430,5,2.7,22.8,4.7,8.4,78.6,90.4,987.8,100.0,78.9,97.1,100.0
2025-01-05T12:00:00Z,2025-01-05T13:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T14:00:00Z,2025-01-05T14:00:00Z,54.4940,-8.2430,5,2.9,19.3,5.1,8.8,83.8,89.6,987.2,100.0,65.2,21.3,100.0
2025-01-05T13:00:00Z,2025-01-05T14:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T15:00:00Z,2025-01-05T15:00:00Z,54.4940,-8.2430,5,3.3,6.7,6.5,9.1,66.4,85.8,986.8,77.9,43.1,0.0,67.6
2025-01-05T14:00:00Z,2025-01-05T15:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T16:00:00Z,2025-01-05T16:00:00Z,54.4940,-8.2430,5,2.9,8.8,5.9,9.0,32.2,85.4,986.6,0.4,0.4,0.0,0.0
2025-01-05T15:00:00Z,2025-01-05T16:00:00Z,54.4940,-8.2430,5,,,,,,,,,,,
2025-01-05T17:00:00Z,2025-01-05T17:00:00Z,54.4940,-8.2430,5,2.2,358.8,4.9,8.6,1.6,87.3,986.8,0.3,0.3,0.0,0.0
