from,to,latitude,longitude,altitude,temperature,windDirection,windSpeed,windGust,globalRadiation,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds
2025-01-09T06:00:00Z,2025-01-09T06:00:00Z,51.4760,-9.4280,12,1.5,334.0,3.6,5.4,0.0,74.5,1010.1,1.8,0.0,0.0,0.0
2025-01-09T05:00:00Z,2025-01-09T06:00:00Z,51.4760,-9.4280,12,,,,,,,,,,,
2025-01-09T07:00:00Z,2025-01-09T07:00:00Z,51.4760,-9.4280,12,1.6,315.2,2.1,5.0,0.0,71.9,1011.3,0.3,0.0,0.0,0.3
2025-01-09T06:00:00Z,2025-01-09T07:00:00Z,51.4760,-9.4280,12,,,,,,,,,,,
2025-01-09T08:00:00Z,2025-01-09T08:00:00Z,51.4760,-9.4280,12,2.3,268.9,2.0,4.9,0.0,70.5,1012.3,0.0,0.0,0.0,0.0
2025-01-09T07:00:00Z,2025-01-09T08:00:00Z,51.4760,-9.4280,12,,,,,,,,,,,
2025-01-09T09:00:00Z,2025-01-09T09:00:00Z,51.4760,-9.4280,12,2.9,301.6,2.0,5.0,1.7,71.5,1013.3,76.4,0.1,0.0,76.4
2025-01-09T08:00:00Z,2025-01-09T09:00:00Z,51.4760,-9.4280,12,,,,,,,,,,,
2025-01-09T10:00:00Z,2025-01-09T10:00:00Z,51.4760,-9.4280,12,3.0,5.1,1.1,4.7,59.7,80.7,1014.1,92.8,0.0,0.0,92.8
2025-01-09T09:00:00Z,2025-01-09T10:00:00Z,51.4760,-9.4280,12,,,,,,,,,,,
2025-01-09T11:00:00Z,2025-01-09T11:00:00Z,51.4760,-9.4280,12,4.0,344.2,0.6,4.3,136.2,82.8,1014.7,77.5,0.0,0.0,77.5
2025-01-09T10:00:00Z,2025-01-09T11:00:00Z,51.4760,-9.4280,12,,,,,,,,,,,
2025-01-09T12:00:00Z,2025-01-09T12:00:00Z,51.4760,-9.4280,12,5.4,235.7,1.8,3.8,178.8,70.0,1015.0,88.4,0.0,0.0,88.4
