TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2025-01-06,2025-01-06T10:00:00,2025-01-06T10:30:00,2661.7,980,6520,2901.449,-23.149
2025-01-06,2025-01-06T10:30:00,2025-01-06T11:00:00,2649.22,980,6518,3114.129,-225.349
2025-01-06,2025-01-06T11:00:00,2025-01-06T11:30:00,2640.97,980,6533,3328.349,-416.319
2025-01-06,2025-01-06T11:30:00,2025-01-06T12:00:00,2605.39,716,6521,3407.786,-208.176
2025-01-06,2025-01-06T12:00:00,2025-01-06T12:30:00,2607.74,640,6475,3454.828,-227.568
2025-01-06,2025-01-06T12:30:00,2025-01-06T13:00:00,2611.64,616,6469,3528.723,-287.363
2025-01-06,2025-01-06T13:00:00,2025-01-06T13:30:00,2593.49,533,6436,3592.583,-283.073
2025-01-06,2025-01-06T13:30:00,2025-01-06T14:00:00,2593.34,481,6330,3658.051,-402.391
2025-01-06,2025-01-06T14:00:00,2025-01-06T14:30:00,2599.32,492,6333,3718.465,-476.785
2025-01-06,2025-01-06T14:30:00,2025-01-06T15:00:00,2604.91,506,6349,3732.643,-494.553
2025-01-06,2025-01-06T15:00:00,2025-01-06T15:30:00,2609.66,570,6380,3743.245,-542.904
2025-01-06,2025-01-06T15:30:00,2025-01-06T16:00:00,2616.36,636,6475,3731.885,-509.244
2025-01-06,2025-01-06T16:00:00,2025-01-06T16:30:00,2758.56,740,6586,3711.647,-624.207
2025-01-06,2025-01-06T16:30:00,2025-01-06T17:00:00,2832.86,755,6818,3688.206,-458.066
2025-01-06,2025-01-06T17:00:00,2025-01-06T17:30:00,2891.03,896,7112,3636.994,-312.023
2025-01-06,2025-01-06T17:30:00,2025-01-06T18:00:00,2881.19,980,7270,3566.905,-158.095
2025-01-06,2025-01-06T18:00:00,2025-01-06T18:30:00,2897.39,980,7192,3489.011,-174.401
2025-01-06,2025-01-06T18:30:00,2025-01-06T19:00:00,2830.83,980,7017,3412.453,-206.283
2025-01-06,2025-01-06T19:00:00,2025-01-06T19:30:00,2831.03,904,6857,3337.85,-215.88
2025-01-06,2025-01-06T19:30:00,2025-01-06T20:00:00,2800.06,827,6739,3261.718,-149.777
2025-01-06,2025-01-06T20:00:00,2025-01-06T20:30:00,2801.91,858,6553,3185.778,-292.688
2025-01-06,2025-01-06T20:30:00,2025-01-06T21:00:00,2596.39,802,6416,3110.397,-92.787
2025-01-06,2025-01-06T21:00:00,2025-01-06T21:30:00,2587.39,573,6212,3034.101,17.509
2025-01-06,2025-01-06T21:30:00,2025-01-06T22:00:00,2585.74,341,5967,2960.933,79.327
2025-01-06,2025-01-06T22:00:00,2025-01-06T22:30:00,2575.94,227,5674,2894.862,-23.803
2025-01-06,2025-01-06T22:30:00,2025-01-06T23:00:00,2361.78,198,5385,2830.183,-4.963
