TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2025-01-09,2025-01-09T05:00:00,2025-01-09T05:30:00,3330.66,821,4572,763.666,-343.326
2025-01-09,2025-01-09T05:30:00,2025-01-09T06:00:00,3248.47,671,4685,711.558,53.972
2025-01-09,2025-01-09T06:00:00,2025-01-09T06:30:00,3789.93,532,4930,665.193,-57.124
2025-01-09,2025-01-09T06:30:00,2025-01-09T07:00:00,3868.38,538,5288,700.565,181.055
2025-01-09,2025-01-09T07:00:00,2025-01-09T07:30:00,4268.61,726,5709,736.613,-22.223
2025-01-09,2025-01-09T07:30:00,2025-01-09T08:00:00,4439.72,901,6205,793.797,70.482
2025-01-09,2025-01-09T08:00:00,2025-01-09T08:30:00,4603.611,980,6467,850.529,32.861
2025-01-09,2025-01-09T08:30:00,2025-01-09T09:00:00,4615.761,980,6589,852.309,140.93
2025-01-09,2025-01-09T09:00:00,2025-01-09T09:30:00,4794.711,980,6726,854.331,96.958
2025-01-09,2025-01-09T09:30:00,2025-01-09T10:00:00,4783.011,980,6828,857.705,207.285
2025-01-09,2025-01-09T10:00:00,2025-01-09T10:30:00,4779.811,980,6828,862.675,205.515
2025-01-09,2025-01-09T10:30:00,2025-01-09T11:00:00,4770.01,980,6836,830.952,255.038
2025-01-09,2025-01-09T11:00:00,2025-01-09T11:30:00,4768.39,980,6852,799.398,304.212
2025-01-09,2025-01-09T11:30:00,2025-01-09T12:00:00,4771.96,980,6852,769.064,330.976
2025-01-09,2025-01-09T12:00:00,2025-01-09T12:30:00,4766.89,980,6835,737.043,351.067
2025-01-09,2025-01-09T12:30:00,2025-01-09T13:00:00,4768.83,980,6884,695.151,440.019
2025-01-09,2025-01-09T13:00:00,2025-01-09T13:30:00,4769.791,980,6870,652.269,467.94
2025-01-09,2025-01-09T13:30:00,2025-01-09T14:00:00,4772.371,980,6781,584.232,444.396
2025-01-09,2025-01-09T14:00:00,2025-01-09T14:30:00,4834.971,980,6750,520.268,414.761
2025-01-09,2025-01-09T14:30:00,2025-01-09T15:00:00,4837.221,980,6747,425.753,504.026
2025-01-09,2025-01-09T15:00:00,2025-01-09T15:30:00,5182.82,980,6773,338.389,271.791
2025-01-09,2025-01-09T15:30:00,2025-01-09T16:00:00,5287.02,980,6869,280.344,321.636
2025-01-09,2025-01-09T16:00:00,2025-01-09T16:30:00,5352.991,980,6943,225.002,385.007
2025-01-09,2025-01-09T16:30:00,2025-01-09T17:00:00,5355.291,980,7194,209.355,649.354
2025-01-09,2025-01-09T17:00:00,2025-01-09T17:30:00,5529.761,980,7406,192.273,703.966
2025-01-09,2025-01-09T17:30:00,2025-01-09T18:00:00,5524.911,980,7550,207.803,837.287
2025-01-09,2025-01-09T18:00:00,2025-01-09T18:30:00,5542.151,980,7463,221.94,718.909
2025-01-09,2025-01-09T18:30:00,2025-01-09T19:00:00,5360.19,980,7328,257.739,730.071
2025-01-09,2025-01-09T19:00:00,2025-01-09T19:30:00,5355.99,980,7179,294.333,548.677
2025-01-09,2025-01-09T19:30:00,2025-01-09T20:00:00,5029.961,980,7034,349.003,675.037
2025-01-09,2025-01-09T20:00:00,2025-01-09T20:30:00,4926.461,980,6823,404.606,511.933
2025-01-09,2025-01-09T20:30:00,2025-01-09T21:00:00,4608.541,980,6672,552.956,530.503
2025-01-09,2025-01-09T21:00:00,2025-01-09T21:30:00,4594.84,980,6483,702.101,206.059
2025-01-09,2025-01-09T21:30:00,2025-01-09T22:00:00,4110.48,878,6232,848.279,395.241
2025-01-09,2025-01-09T22:00:00,2025-01-09T22:30:00,4092.58,777,5946,990.129,86.291
2025-01-09,2025-01-09T22:30:00,2025-01-09T23:00:00,3659,663,5710,1112.471,275.529
