TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2024-12-31,2024-12-31T02:00:00,2024-12-31T02:30:00,232,-750,3813,5049.868,-718.868
2024-12-31,2024-12-31T02:30:00,2024-12-31T03:00:00,228.5,-679,3722,5053.673,-881.173
2024-12-31,2024-12-31T03:00:00,2024-12-31T03:30:00,231.85,-670,3644,5068.322,-986.172
2024-12-31,2024-12-31T03:30:00,2024-12-31T04:00:00,235.3,-705,3615,5097.774,-1013.074
2024-12-31,2024-12-31T04:00:00,2024-12-31T04:30:00,238.35,-604,3599,5125.721,-1161.071
2024-12-31,2024-12-31T04:30:00,2024-12-31T05:00:00,215.55,-545,3574,5148.207,-1244.756
2024-12-31,2024-12-31T05:00:00,2024-12-31T05:30:00,218.5,-445,3558,5166.31,-1381.81
2024-12-31,2024-12-31T05:30:00,2024-12-31T06:00:00,169.65,-441,3618,5176.54,-1287.189
2024-12-31,2024-12-31T06:00:00,2024-12-31T06:30:00,172.2,-624,3718,5181.741,-1011.941
2024-12-31,2024-12-31T06:30:00,2024-12-31T07:00:00,324.6,-750,3861,5183.101,-896.701
2024-12-31,2024-12-31T07:00:00,2024-12-31T07:30:00,332.8,-750,4004,5182.185,-760.984
2024-12-31,2024-12-31T07:30:00,2024-12-31T08:00:00,554,-750,4153,5179.202,-830.202
2024-12-31,2024-12-31T08:00:00,2024-12-31T08:30:00,618.65,-750,4261,5174.986,-782.636
2024-12-31,2024-12-31T08:30:00,2024-12-31T09:00:00,616.2,-750,4359,5166.083,-673.284
2024-12-31,2024-12-31T09:00:00,2024-12-31T09:30:00,629.3,-750,4501,5161.372,-539.672
2024-12-31,2024-12-31T09:30:00,2024-12-31T10:00:00,629.55,-682,4672,5153.782,-429.332
2024-12-31,2024-12-31T10:00:00,2024-12-31T10:30:00,630.8,-523,4821,5142.454,-429.254
2024-12-31,2024-12-31T10:30:00,2024-12-31T11:00:00,629.75,-381,4952,5136.769,-433.519
2024-12-31,2024-12-31T11:00:00,2024-12-31T11:30:00,628.6,-400,5060,5137.952,-306.552
2024-12-31,2024-12-31T11:30:00,2024-12-31T12:00:00,628.1,-291,5120,5139.456,-356.556
2024-12-31,2024-12-31T12:00:00,2024-12-31T12:30:00,628.1,-156,5191,5136.814,-417.915
2024-12-31,2024-12-31T12:30:00,2024-12-31T13:00:00,627.6,-157,5266,5130.864,-335.464
2024-12-31,2024-12-31T13:00:00,2024-12-31T13:30:00,627.9,-110,5309,5111.134,-320.034
2024-12-31,2024-12-31T13:30:00,2024-12-31T14:00:00,626.2,0,5285,5073.55,-414.75
2024-12-31,2024-12-31T14:00:00,2024-12-31T14:30:00,624.7,-59,5224,5015.429,-357.129
2024-12-31,2024-12-31T14:30:00,2024-12-31T15:00:00,622.85,-136,5209,4924.32,-202.17
2024-12-31,2024-12-31T15:00:00,2024-12-31T15:30:00,619.15,-49,5182,4832.645,-220.794
2024-12-31,2024-12-31T15:30:00,2024-12-31T16:00:00,612.2,0,5239,4722.114,-95.314
2024-12-31,2024-12-31T16:00:00,2024-12-31T16:30:00,600.55,134,5323,4606.872,-18.422
2024-12-31,2024-12-31T16:30:00,2024-12-31T17:00:00,586.8,334,5569,4507.295,140.905
2024-12-31,2024-12-31T17:00:00,2024-12-31T17:30:00,787.92,501,5800,4412.842,98.238
2024-12-31,2024-12-31T17:30:00,2024-12-31T18:00:00,764.87,667,5900,4322.221,145.909
2024-12-31,2024-12-31T18:00:00,2024-12-31T18:30:00,788.51,678,5832,4233.796,131.694
2024-12-31,2024-12-31T18:30:00,2024-12-31T19:00:00,787.26,752,5700,4148.538,12.202
2024-12-31,2024-12-31T19:00:00,2024-12-31T19:30:00,712.74,781,5531,4063.165,-25.905
2024-12-31,2024-12-31T19:30:00,2024-12-31T20:00:00,567.95,778,5344,3979.46,18.589
2024-12-31,2024-12-31T20:00:00,2024-12-31T20:30:00,564.15,775,5187,3898.808,-50.958
2024-12-31,2024-12-31T20:30:00,2024-12-31T21:00:00,559.95,789,5045,3823.41,-127.36
2024-12-31,2024-12-31T21:00:00,2024-12-31T21:30:00,559.5,800,4908,3749.302,-200.802
2024-12-31,2024-12-31T21:30:00,2024-12-31T22:00:00,556.9,793,4761,3673.78,-262.68
2024-12-31,2024-12-31T22:00:00,2024-12-31T22:30:00,555.6,887,4627,3599.097,-414.697
2024-12-31,2024-12-31T22:30:00,2024-12-31T23:00:00,552.5,962,4542,3511.69,-484.189
