TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2025-01-07,2025-01-07T09:00:00,2025-01-07T09:30:00,3441.39,980,6550,1584.088,544.522
2025-01-07,2025-01-07T09:30:00,2025-01-07T10:00:00,3454.14,1045,6626,1702.625,424.234
2025-01-07,2025-01-07T10:00:00,2025-01-07T10:30:00,3487.79,1195,6599,1829.061,87.149
2025-01-07,2025-01-07T10:30:00,2025-01-07T11:00:00,3497.04,1130,6532,1887.57,17.391
2025-01-07,2025-01-07T11:00:00,2025-01-07T11:30:00,3502.49,980,6475,1944.302,48.208
2025-01-07,2025-01-07T11:30:00,2025-01-07T12:00:00,3456.189,980,6515,1931.397,147.414
2025-01-07,2025-01-07T12:00:00,2025-01-07T12:30:00,3459.34,980,6362,1914.469,8.191
2025-01-07,2025-01-07T12:30:00,2025-01-07T13:00:00,3488.98,980,6334,1892.462,-27.441
2025-01-07,2025-01-07T13:00:00,2025-01-07T13:30:00,3494.48,980,6285,1866.186,-55.666
2025-01-07,2025-01-07T13:30:00,2025-01-07T14:00:00,3505.14,980,6177,1811.964,-120.103
2025-01-07,2025-01-07T14:00:00,2025-01-07T14:30:00,3524.38,980,6183,1754.906,-76.286
2025-01-07,2025-01-07T14:30:00,2025-01-07T15:00:00,3577.33,980,6217,1670.742,-11.072
2025-01-07,2025-01-07T15:00:00,2025-01-07T15:30:00,3813.43,980,6294,1588.705,-88.136
2025-01-07,2025-01-07T15:30:00,2025-01-07T16:00:00,3815.28,980,6408,1463.425,149.295
2025-01-07,2025-01-07T16:00:00,2025-01-07T16:30:00,4429.25,980,6544,1338.618,-203.868
2025-01-07,2025-01-07T16:30:00,2025-01-07T17:00:00,4494.227,980,6806,1253.691,78.083
2025-01-07,2025-01-07T17:00:00,2025-01-07T17:30:00,4600.872,980,7148,1170.304,396.824
2025-01-07,2025-01-07T17:30:00,2025-01-07T18:00:00,4618.008,980,7315,1086.88,630.112
2025-01-07,2025-01-07T18:00:00,2025-01-07T18:30:00,4678.095,980,7258,1007.24,592.665
2025-01-07,2025-01-07T18:30:00,2025-01-07T19:00:00,4608.521,980,7122,964.843,568.637
2025-01-07,2025-01-07T19:00:00,2025-01-07T19:30:00,4569.407,980,6969,925.859,493.734
2025-01-07,2025-01-07T19:30:00,2025-01-07T20:00:00,4546.144,980,6846,904.979,414.878
2025-01-07,2025-01-07T20:00:00,2025-01-07T20:30:00,4529.51,980,6658,881.206,267.284
2025-01-07,2025-01-07T20:30:00,2025-01-07T21:00:00,4437.175,980,6492,850.676,224.148
2025-01-07,2025-01-07T21:00:00,2025-01-07T21:30:00,4419.662,980,6332,817.661,114.677
2025-01-07,2025-01-07T21:30:00,2025-01-07T22:00:00,4218.67,980,6014,737.489,77.841
2025-01-07,2025-01-07T22:00:00,2025-01-07T22:30:00,4198.26,980,5756,660.432,-82.692
2025-01-07,2025-01-07T22:30:00,2025-01-07T23:00:00,3997.46,980,5474,617.072,-120.532
