DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 October 2019 00:00,3373,-,All Island
1 October 2019 00:15,3330,-,All Island
1 October 2019 00:30,3278,-,All Island
1 October 2019 00:45,3211,-,All Island
1 October 2019 01:00,3164,-,All Island
1 October 2019 01:15,3125,-,All Island
1 October 2019 01:30,3109,-,All Island
1 October 2019 01:45,3085,-,All Island
1 October 2019 02:00,3048,-,All Island
1 October 2019 02:15,3024,-,All Island
1 October 2019 02:30,3003,-,All Island
1 October 2019 02:45,2982,-,All Island
1 October 2019 03:00,2973,-,All Island
1 October 2019 03:15,2972,-,All Island
1 October 2019 03:30,2951,-,All Island
1 October 2019 03:45,2956,-,All Island
1 October 2019 04:00,2949,-,All Island
1 October 2019 04:15,2945,-,All Island
1 October 2019 04:30,2965,-,All Island
1 October 2019 04:45,2969,-,All Island
1 October 2019 05:00,3001,-,All Island
1 October 2019 05:15,3053,-,All Island
1 October 2019 05:30,3077,-,All Island
1 October 2019 05:45,3154,-,All Island
1 October 2019 06:00,3288,-,All Island
1 October 2019 06:15,3492,-,All Island
1 October 2019 06:30,3602,-,All Island
1 October 2019 06:45,3813,-,All Island
1 October 2019 07:00,4001,-,All Island
1 October 2019 07:15,4309,-,All Island
1 October 2019 07:30,4444,-,All Island
1 October 2019 07:45,4576,-,All Island
1 October 2019 08:00,4635,-,All Island
1 October 2019 08:15,4716,-,All Island
1 October 2019 08:30,4700,-,All Island
1 October 2019 08:45,4695,-,All Island
1 October 2019 09:00,4701,-,All Island
1 October 2019 09:15,4734,-,All Island
1 October 2019 09:30,4738,-,All Island
1 October 2019 09:45,4780,-,All Island
1 October 2019 10:00,4736,-,All Island
1 October 2019 10:15,4712,-,All Island
1 October 2019 10:30,4721,-,All Island
1 October 2019 10:45,4736,-,All Island
1 October 2019 11:00,4730,-,All Island
1 October 2019 11:15,4722,-,All Island
1 October 2019 11:30,4726,-,All Island
1 October 2019 11:45,4712,-,All Island
1 October 2019 12:00,4671,-,All Island
1 October 2019 12:15,4730,-,All Island
1 October 2019 12:30,4758,-,All Island
1 October 2019 12:45,4781,-,All Island
1 October 2019 13:00,4789,-,All Island
1 October 2019 13:15,4738,-,All Island
1 October 2019 13:30,4697,-,All Island
1 October 2019 13:45,4671,-,All Island
1 October 2019 14:00,4698,-,All Island
1 October 2019 14:15,4719,-,All Island
1 October 2019 14:30,4706,-,All Island
1 October 2019 14:45,4696,-,All Island
1 October 2019 15:00,4732,-,All Island
1 October 2019 15:15,4747,-,All Island
1 October 2019 15:30,4756,-,All Island
1 October 2019 15:45,4771,-,All Island
1 October 2019 16:00,4815,-,All Island
1 October 2019 16:15,4889,-,All Island
1 October 2019 16:30,4945,-,All Island
1 October 2019 16:45,5006,-,All Island
1 October 2019 17:00,5050,-,All Island
1 October 2019 17:15,5076,-,All Island
1 October 2019 17:30,5112,-,All Island
1 October 2019 17:45,5078,-,All Island
1 October 2019 18:00,5049,-,All Island
1 October 2019 18:15,5003,-,All Island
1 October 2019 18:30,4963,-,All Island
1 October 2019 18:45,4947,-,All Island
1 October 2019 19:00,4967,-,All Island
1 October 2019 19:15,5040,-,All Island
1 October 2019 19:30,5160,-,All Island
1 October 2019 19:45,5159,-,All Island
1 October 2019 20:00,5144,-,All Island
1 October 2019 20:15,5076,-,All Island
1 October 2019 20:30,5014,-,All Island
1 October 2019 20:45,4917,-,All Island
1 October 2019 21:00,4858,-,All Island
1 October 2019 21:15,4743,-,All Island
1 October 2019 21:30,4624,-,All Island
1 October 2019 21:45,4515,-,All Island
1 October 2019 22:00,4386,-,All Island
1 October 2019 22:15,4264,-,All Island
1 October 2019 22:30,4121,-,All Island
1 October 2019 22:45,3977,-,All Island
1 October 2019 23:00,3852,-,All Island
1 October 2019 23:15,3714,-,All Island
1 October 2019 23:30,3622,-,All Island
1 October 2019 23:45,3504,-,All Island
2 October 2019 00:00,3460,-,All Island
2 October 2019 00:15,3435,-,All Island
2 October 2019 00:30,3376,-,All Island
2 October 2019 00:45,3324,-,All Island
2 October 2019 01:00,3271,-,All Island
2 October 2019 01:15,3226,-,All Island
2 October 2019 01:30,3197,-,All Island
2 October 2019 01:45,3169,-,All Island
2 October 2019 02:00,3146,-,All Island
2 October 2019 02:15,3135,-,All Island
2 October 2019 02:30,3115,-,All Island
2 October 2019 02:45,3091,-,All Island
2 October 2019 03:00,3072,-,All Island
2 October 2019 03:15,3062,-,All Island
2 October 2019 03:30,3066,-,All Island
2 October 2019 03:45,3053,-,All Island
2 October 2019 04:00,3055,-,All Island
2 October 2019 04:15,3064,-,All Island
2 October 2019 04:30,3080,-,All Island
2 October 2019 04:45,3097,-,All Island
2 October 2019 05:00,3126,-,All Island
2 October 2019 05:15,3179,-,All Island
2 October 2019 05:30,3205,-,All Island
2 October 2019 05:45,3277,-,All Island
2 October 2019 06:00,3393,-,All Island
2 October 2019 06:15,3571,-,All Island
2 October 2019 06:30,3711,-,All Island
2 October 2019 06:45,3885,-,All Island
2 October 2019 07:00,4124,-,All Island
2 October 2019 07:15,4441,-,All Island
2 October 2019 07:30,4572,-,All Island
2 October 2019 07:45,4729,-,All Island
2 October 2019 08:00,4822,-,All Island
2 October 2019 08:15,4923,-,All Island
2 October 2019 08:30,4927,-,All Island
2 October 2019 08:45,4946,-,All Island
2 October 2019 09:00,4972,-,All Island
2 October 2019 09:15,5014,-,All Island
2 October 2019 09:30,5013,-,All Island
2 October 2019 09:45,5002,-,All Island
2 October 2019 10:00,4998,-,All Island
2 October 2019 10:15,4950,-,All Island
2 October 2019 10:30,4947,-,All Island
2 October 2019 10:45,4935,-,All Island
2 October 2019 11:00,4930,-,All Island
2 October 2019 11:15,4911,-,All Island
2 October 2019 11:30,4894,-,All Island
2 October 2019 11:45,4878,-,All Island
2 October 2019 12:00,4878,-,All Island
2 October 2019 12:15,4894,-,All Island
2 October 2019 12:30,4903,-,All Island
2 October 2019 12:45,4918,-,All Island
2 October 2019 13:00,4875,-,All Island
2 October 2019 13:15,4824,-,All Island
2 October 2019 13:30,4772,-,All Island
2 October 2019 13:45,4767,-,All Island
2 October 2019 14:00,4765,-,All Island
2 October 2019 14:15,4781,-,All Island
2 October 2019 14:30,4760,-,All Island
2 October 2019 14:45,4769,-,All Island
2 October 2019 15:00,4771,-,All Island
2 October 2019 15:15,4803,-,All Island
2 October 2019 15:30,4820,-,All Island
2 October 2019 15:45,4836,-,All Island
2 October 2019 16:00,4872,-,All Island
2 October 2019 16:15,4931,-,All Island
2 October 2019 16:30,5006,-,All Island
2 October 2019 16:45,5076,-,All Island
2 October 2019 17:00,5116,-,All Island
2 October 2019 17:15,5164,-,All Island
2 October 2019 17:30,5210,-,All Island
2 October 2019 17:45,5226,-,All Island
2 October 2019 18:00,5229,-,All Island
2 October 2019 18:15,5195,-,All Island
2 October 2019 18:30,5180,-,All Island
2 October 2019 18:45,5181,-,All Island
2 October 2019 19:00,5216,-,All Island
2 October 2019 19:15,5328,-,All Island
2 October 2019 19:30,5397,-,All Island
2 October 2019 19:45,5392,-,All Island
2 October 2019 20:00,5322,-,All Island
2 October 2019 20:15,5241,-,All Island
2 October 2019 20:30,5157,-,All Island
2 October 2019 20:45,5055,-,All Island
2 October 2019 21:00,4982,-,All Island
2 October 2019 21:15,4851,-,All Island
2 October 2019 21:30,4711,-,All Island
2 October 2019 21:45,4581,-,All Island
2 October 2019 22:00,4446,-,All Island
2 October 2019 22:15,4298,-,All Island
2 October 2019 22:30,4147,-,All Island
2 October 2019 22:45,3989,-,All Island
2 October 2019 23:00,3859,-,All Island
2 October 2019 23:15,3731,-,All Island
2 October 2019 23:30,3614,-,All Island
2 October 2019 23:45,3520,-,All Island
3 October 2019 00:00,3450,-,All Island
3 October 2019 00:15,3412,-,All Island
3 October 2019 00:30,3367,-,All Island
3 October 2019 00:45,3304,-,All Island
3 October 2019 01:00,3268,-,All Island
3 October 2019 01:15,3235,-,All Island
3 October 2019 01:30,3201,-,All Island
3 October 2019 01:45,3150,-,All Island
3 October 2019 02:00,3129,-,All Island
3 October 2019 02:15,3115,-,All Island
3 October 2019 02:30,3100,-,All Island
3 October 2019 02:45,3072,-,All Island
3 October 2019 03:00,3064,-,All Island
3 October 2019 03:15,3052,-,All Island
3 October 2019 03:30,3056,-,All Island
3 October 2019 03:45,3042,-,All Island
3 October 2019 04:00,3052,-,All Island
3 October 2019 04:15,3069,-,All Island
3 October 2019 04:30,3079,-,All Island
3 October 2019 04:45,3114,-,All Island
3 October 2019 05:00,3145,-,All Island
3 October 2019 05:15,3191,-,All Island
3 October 2019 05:30,3218,-,All Island
3 October 2019 05:45,3277,-,All Island
3 October 2019 06:00,3392,-,All Island
3 October 2019 06:15,3565,-,All Island
3 October 2019 06:30,3689,-,All Island
3 October 2019 06:45,3898,-,All Island
3 October 2019 07:00,4131,-,All Island
3 October 2019 07:15,4476,-,All Island
3 October 2019 07:30,4582,-,All Island
3 October 2019 07:45,4705,-,All Island
3 October 2019 08:00,4817,-,All Island
3 October 2019 08:15,4894,-,All Island
3 October 2019 08:30,4887,-,All Island
3 October 2019 08:45,4896,-,All Island
3 October 2019 09:00,4924,-,All Island
3 October 2019 09:15,4957,-,All Island
3 October 2019 09:30,4966,-,All Island
3 October 2019 09:45,4966,-,All Island
3 October 2019 10:00,4973,-,All Island
3 October 2019 10:15,4950,-,All Island
3 October 2019 10:30,4979,-,All Island
3 October 2019 10:45,4981,-,All Island
3 October 2019 11:00,5011,-,All Island
3 October 2019 11:15,5028,-,All Island
3 October 2019 11:30,5023,-,All Island
3 October 2019 11:45,5012,-,All Island
