DATE & TIME, ACTUAL GENERATION(MW), REGION
1 September 2019 00:00,3335,All Island
1 September 2019 00:15,3256,All Island
1 September 2019 00:30,3122,All Island
1 September 2019 00:45,3022,All Island
1 September 2019 01:00,3032,All Island
1 September 2019 01:15,3095,All Island
1 September 2019 01:30,3016,All Island
1 September 2019 01:45,2978,All Island
1 September 2019 02:00,2955,All Island
1 September 2019 02:15,2931,All Island
1 September 2019 02:30,2919,All Island
1 September 2019 02:45,2867,All Island
1 September 2019 03:00,2864,All Island
1 September 2019 03:15,2871,All Island
1 September 2019 03:30,2857,All Island
1 September 2019 03:45,2837,All Island
1 September 2019 04:00,2853,All Island
1 September 2019 04:15,2869,All Island
1 September 2019 04:30,2860,All Island
1 September 2019 04:45,2872,All Island
1 September 2019 05:00,2874,All Island
1 September 2019 05:15,2858,All Island
1 September 2019 05:30,2869,All Island
1 September 2019 05:45,2832,All Island
1 September 2019 06:00,2951,All Island
1 September 2019 06:15,3148,All Island
1 September 2019 06:30,3134,All Island
1 September 2019 06:45,3022,All Island
1 September 2019 07:00,3066,All Island
1 September 2019 07:15,3050,All Island
1 September 2019 07:30,3005,All Island
1 September 2019 07:45,2999,All Island
1 September 2019 08:00,3085,All Island
1 September 2019 08:15,3123,All Island
1 September 2019 08:30,3143,All Island
1 September 2019 08:45,3171,All Island
1 September 2019 09:00,3217,All Island
1 September 2019 09:15,3411,All Island
1 September 2019 09:30,3489,All Island
1 September 2019 09:45,3543,All Island
1 September 2019 10:00,3674,All Island
1 September 2019 10:15,3774,All Island
1 September 2019 10:30,3849,All Island
1 September 2019 10:45,3768,All Island
1 September 2019 11:00,3739,All Island
1 September 2019 11:15,3750,All Island
1 September 2019 11:30,3748,All Island
1 September 2019 11:45,3690,All Island
1 September 2019 12:00,3692,All Island
1 September 2019 12:15,3722,All Island
1 September 2019 12:30,3730,All Island
1 September 2019 12:45,3721,All Island
1 September 2019 13:00,3638,All Island
1 September 2019 13:15,3587,All Island
1 September 2019 13:30,3516,All Island
1 September 2019 13:45,3436,All Island
1 September 2019 14:00,3317,All Island
1 September 2019 14:15,3217,All Island
1 September 2019 14:30,3170,All Island
1 September 2019 14:45,3153,All Island
1 September 2019 15:00,3090,All Island
1 September 2019 15:15,3017,All Island
1 September 2019 15:30,3037,All Island
1 September 2019 15:45,3072,All Island
1 September 2019 16:00,3171,All Island
1 September 2019 16:15,3337,All Island
1 September 2019 16:30,3419,All Island
1 September 2019 16:45,3417,All Island
1 September 2019 17:00,3399,All Island
1 September 2019 17:15,3521,All Island
1 September 2019 17:30,3612,All Island
1 September 2019 17:45,3701,All Island
1 September 2019 18:00,3709,All Island
1 September 2019 18:15,3706,All Island
1 September 2019 18:30,3700,All Island
1 September 2019 18:45,3649,All Island
1 September 2019 19:00,3745,All Island
