DATE & TIME, ACTUAL GENERATION(MW), REGION
1 July 2023 00:00,3623,All Island
1 July 2023 00:15,3550,All Island
1 July 2023 00:30,3404,All Island
1 July 2023 00:45,3251,All Island
1 July 2023 01:00,3179,All Island
1 July 2023 01:15,3141,All Island
1 July 2023 01:30,3050,All Island
1 July 2023 01:45,3012,All Island
1 July 2023 02:00,3037,All Island
1 July 2023 02:15,3055,All Island
1 July 2023 02:30,2994,All Island
1 July 2023 02:45,2973,All Island
1 July 2023 03:00,2945,All Island
1 July 2023 03:15,2949,All Island
1 July 2023 03:30,2908,All Island
1 July 2023 03:45,2875,All Island
1 July 2023 04:00,2894,All Island
1 July 2023 04:15,2902,All Island
1 July 2023 04:30,2859,All Island
1 July 2023 04:45,2793,All Island
1 July 2023 05:00,2821,All Island
1 July 2023 05:15,2869,All Island
1 July 2023 05:30,2838,All Island
1 July 2023 05:45,2570,All Island
1 July 2023 06:00,2695,All Island
1 July 2023 06:15,2817,All Island
1 July 2023 06:30,2928,All Island
1 July 2023 06:45,2971,All Island
1 July 2023 07:00,2990,All Island
1 July 2023 07:15,2968,All Island
1 July 2023 07:30,3187,All Island
1 July 2023 07:45,3343,All Island
1 July 2023 08:00,3306,All Island
1 July 2023 08:15,3223,All Island
1 July 2023 08:30,3354,All Island
1 July 2023 08:45,3479,All Island
1 July 2023 09:00,3561,All Island
1 July 2023 09:15,3569,All Island
1 July 2023 09:30,3601,All Island
1 July 2023 09:45,3615,All Island
1 July 2023 10:00,3636,All Island
1 July 2023 10:15,3605,All Island
1 July 2023 10:30,3554,All Island
1 July 2023 10:45,3539,All Island
1 July 2023 11:00,3567,All Island
1 July 2023 11:15,3566,All Island
1 July 2023 11:30,3559,All Island
1 July 2023 11:45,3558,All Island
1 July 2023 12:00,3562,All Island
1 July 2023 12:15,3538,All Island
1 July 2023 12:30,3479,All Island
1 July 2023 12:45,3421,All Island
1 July 2023 13:00,3475,All Island
1 July 2023 13:15,3555,All Island
1 July 2023 13:30,3464,All Island
1 July 2023 13:45,3375,All Island
1 July 2023 14:00,3434,All Island
1 July 2023 14:15,3532,All Island
1 July 2023 14:30,3503,All Island
1 July 2023 14:45,3446,All Island
1 July 2023 15:00,3406,All Island
1 July 2023 15:15,3378,All Island
1 July 2023 15:30,3390,All Island
1 July 2023 15:45,3404,All Island
