DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 June 2022 00:00,3726,-,All Island
1 June 2022 00:15,3685,-,All Island
1 June 2022 00:30,3613,-,All Island
1 June 2022 00:45,3561,-,All Island
1 June 2022 01:00,3505,-,All Island
1 June 2022 01:15,3464,-,All Island
1 June 2022 01:30,3414,-,All Island
1 June 2022 01:45,3385,-,All Island
1 June 2022 02:00,3352,-,All Island
1 June 2022 02:15,3351,-,All Island
1 June 2022 02:30,3332,-,All Island
1 June 2022 02:45,3312,-,All Island
1 June 2022 03:00,3283,-,All Island
1 June 2022 03:15,3284,-,All Island
1 June 2022 03:30,3275,-,All Island
1 June 2022 03:45,3268,-,All Island
1 June 2022 04:00,3265,-,All Island
1 June 2022 04:15,3295,-,All Island
1 June 2022 04:30,3281,-,All Island
1 June 2022 04:45,3273,-,All Island
1 June 2022 05:00,3264,-,All Island
1 June 2022 05:15,3298,-,All Island
1 June 2022 05:30,3323,-,All Island
1 June 2022 05:45,3365,-,All Island
1 June 2022 06:00,3483,-,All Island
1 June 2022 06:15,3628,-,All Island
1 June 2022 06:30,3744,-,All Island
1 June 2022 06:45,3910,-,All Island
1 June 2022 07:00,4101,-,All Island
1 June 2022 07:15,4383,-,All Island
1 June 2022 07:30,4523,-,All Island
1 June 2022 07:45,4685,-,All Island
1 June 2022 08:00,4806,-,All Island
1 June 2022 08:15,4926,-,All Island
1 June 2022 08:30,4950,-,All Island
1 June 2022 08:45,4974,-,All Island
1 June 2022 09:00,5012,-,All Island
1 June 2022 09:15,5029,-,All Island
1 June 2022 09:30,5046,-,All Island
1 June 2022 09:45,5035,-,All Island
1 June 2022 10:00,5014,-,All Island
1 June 2022 10:15,4985,-,All Island
1 June 2022 10:30,4982,-,All Island
1 June 2022 10:45,4994,-,All Island
1 June 2022 11:00,4999,-,All Island
1 June 2022 11:15,5003,-,All Island
1 June 2022 11:30,4996,-,All Island
1 June 2022 11:45,4986,-,All Island
1 June 2022 12:00,4980,-,All Island
1 June 2022 12:15,5002,-,All Island
1 June 2022 12:30,5012,-,All Island
1 June 2022 12:45,5005,-,All Island
1 June 2022 13:00,4966,-,All Island
1 June 2022 13:15,4928,-,All Island
1 June 2022 13:30,4890,-,All Island
1 June 2022 13:45,4873,-,All Island
1 June 2022 14:00,4858,-,All Island
1 June 2022 14:15,4854,-,All Island
1 June 2022 14:30,4830,-,All Island
1 June 2022 14:45,4826,-,All Island
1 June 2022 15:00,4846,-,All Island
1 June 2022 15:15,4827,-,All Island
1 June 2022 15:30,4848,-,All Island
1 June 2022 15:45,4849,-,All Island
1 June 2022 16:00,4840,-,All Island
1 June 2022 16:15,4879,-,All Island
1 June 2022 16:30,4925,-,All Island
1 June 2022 16:45,4964,-,All Island
1 June 2022 17:00,5012,-,All Island
1 June 2022 17:15,5076,-,All Island
1 June 2022 17:30,5109,-,All Island
1 June 2022 17:45,5106,-,All Island
1 June 2022 18:00,5080,-,All Island
1 June 2022 18:15,5030,-,All Island
1 June 2022 18:30,4986,-,All Island
1 June 2022 18:45,4932,-,All Island
1 June 2022 19:00,4869,-,All Island
1 June 2022 19:15,4826,-,All Island
1 June 2022 19:30,4792,-,All Island
1 June 2022 19:45,4739,-,All Island
1 June 2022 20:00,4707,-,All Island
