DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
1 November 2022 00:00,1178,1160,All Island
1 November 2022 00:15,1246,1177,All Island
1 November 2022 00:30,1314,1252,All Island
1 November 2022 00:45,1381,1293,All Island
1 November 2022 01:00,1449,1352,All Island
1 November 2022 01:15,1529,1396,All Island
1 November 2022 01:30,1610,1594,All Island
1 November 2022 01:45,1690,1755,All Island
1 November 2022 02:00,1771,1844,All Island
1 November 2022 02:15,1833,1763,All Island
1 November 2022 02:30,1895,1576,All Island
1 November 2022 02:45,1957,1551,All Island
1 November 2022 03:00,2020,1662,All Island
1 November 2022 03:15,2072,1698,All Island
1 November 2022 03:30,2125,1728,All Island
1 November 2022 03:45,2178,1712,All Island
1 November 2022 04:00,2231,1721,All Island
1 November 2022 04:15,2246,1790,All Island
1 November 2022 04:30,2262,1747,All Island
1 November 2022 04:45,2277,1761,All Island
1 November 2022 05:00,2293,1856,All Island
1 November 2022 05:15,2280,1979,All Island
1 November 2022 05:30,2267,2143,All Island
1 November 2022 05:45,2254,2363,All Island
1 November 2022 06:00,2544,2395,All Island
1 November 2022 06:15,2510,2330,All Island
1 November 2022 06:30,2477,2362,All Island
1 November 2022 06:45,2444,2316,All Island
1 November 2022 07:00,2410,2330,All Island
1 November 2022 07:15,2357,2161,All Island
1 November 2022 07:30,2304,2065,All Island
1 November 2022 07:45,2251,2106,All Island
1 November 2022 08:00,2198,2089,All Island
1 November 2022 08:15,2167,2056,All Island
1 November 2022 08:30,2135,2127,All Island
1 November 2022 08:45,2104,2100,All Island
1 November 2022 09:00,2072,2009,All Island
1 November 2022 09:15,2027,1932,All Island
1 November 2022 09:30,1982,1930,All Island
1 November 2022 09:45,1936,1986,All Island
1 November 2022 10:00,1891,1922,All Island
1 November 2022 10:15,1822,1745,All Island
1 November 2022 10:30,1753,1649,All Island
1 November 2022 10:45,1684,1610,All Island
1 November 2022 11:00,1615,1606,All Island
1 November 2022 11:15,1559,1609,All Island
1 November 2022 11:30,1503,1627,All Island
1 November 2022 11:45,1447,1541,All Island
1 November 2022 12:00,1282,1376,All Island
1 November 2022 12:15,1243,1426,All Island
1 November 2022 12:30,1205,1364,All Island
1 November 2022 12:45,1166,1271,All Island
1 November 2022 13:00,1128,1211,All Island
1 November 2022 13:15,1184,1112,All Island
1 November 2022 13:30,1239,1153,All Island
1 November 2022 13:45,1294,1098,All Island
1 November 2022 14:00,1350,1206,All Island
1 November 2022 14:15,1491,1199,All Island
1 November 2022 14:30,1632,1246,All Island
1 November 2022 14:45,1773,1314,All Island
1 November 2022 15:00,1914,1386,All Island
1 November 2022 15:15,1966,1324,All Island
1 November 2022 15:30,2018,1436,All Island
1 November 2022 15:45,2070,1479,All Island
1 November 2022 16:00,2122,1629,All Island
1 November 2022 16:15,2162,1821,All Island
1 November 2022 16:30,2201,1907,All Island
1 November 2022 16:45,2240,2116,All Island
1 November 2022 17:00,2279,2304,All Island
1 November 2022 17:15,2322,2604,All Island
1 November 2022 17:30,2365,2577,All Island
1 November 2022 17:45,2408,2363,All Island
1 November 2022 18:00,2453,2454,All Island
1 November 2022 18:15,2469,2454,All Island
1 November 2022 18:30,2486,2458,All Island
1 November 2022 18:45,2502,2405,All Island
1 November 2022 19:00,2519,2463,All Island
1 November 2022 19:15,2505,2443,All Island
1 November 2022 19:30,2491,2448,All Island
1 November 2022 19:45,2477,2711,All Island
1 November 2022 20:00,2463,2754,All Island
1 November 2022 20:15,2435,2645,All Island
1 November 2022 20:30,2406,2669,All Island
1 November 2022 20:45,2378,2617,All Island
1 November 2022 21:00,2350,2716,All Island
1 November 2022 21:15,2343,2761,All Island
1 November 2022 21:30,2337,2681,All Island
1 November 2022 21:45,2331,2784,All Island
1 November 2022 22:00,2324,2764,All Island
1 November 2022 22:15,2328,2753,All Island
1 November 2022 22:30,2331,2648,All Island
1 November 2022 22:45,2334,2634,All Island
1 November 2022 23:00,2337,2622,All Island
1 November 2022 23:15,2347,2685,All Island
1 November 2022 23:30,2356,2692,All Island
1 November 2022 23:45,2366,2510,All Island
2 November 2022 00:00,2172,2461,All Island
2 November 2022 00:15,2210,2434,All Island
2 November 2022 00:30,2248,2350,All Island
2 November 2022 00:45,2286,2374,All Island
2 November 2022 01:00,2324,2375,All Island
