DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 January 2022 00:00,3729,-,All Island
1 January 2022 00:15,3715,-,All Island
1 January 2022 00:30,3662,-,All Island
1 January 2022 00:45,3593,-,All Island
1 January 2022 01:00,3548,-,All Island
1 January 2022 01:15,3542,-,All Island
1 January 2022 01:30,3476,-,All Island
1 January 2022 01:45,3405,-,All Island
1 January 2022 02:00,3348,-,All Island
1 January 2022 02:15,3301,-,All Island
1 January 2022 02:30,3244,-,All Island
1 January 2022 02:45,3171,-,All Island
1 January 2022 03:00,3146,-,All Island
1 January 2022 03:15,3106,-,All Island
1 January 2022 03:30,3060,-,All Island
1 January 2022 03:45,3034,-,All Island
1 January 2022 04:00,3013,-,All Island
1 January 2022 04:15,3029,-,All Island
1 January 2022 04:30,3000,-,All Island
1 January 2022 04:45,2958,-,All Island
1 January 2022 05:00,2959,-,All Island
1 January 2022 05:15,2957,-,All Island
1 January 2022 05:30,2961,-,All Island
1 January 2022 05:45,2948,-,All Island
1 January 2022 06:00,2946,-,All Island
1 January 2022 06:15,2997,-,All Island
1 January 2022 06:30,2998,-,All Island
1 January 2022 06:45,2996,-,All Island
1 January 2022 07:00,3032,-,All Island
1 January 2022 07:15,3056,-,All Island
1 January 2022 07:30,3083,-,All Island
1 January 2022 07:45,3138,-,All Island
1 January 2022 08:00,3153,-,All Island
1 January 2022 08:15,3183,-,All Island
1 January 2022 08:30,3180,-,All Island
1 January 2022 08:45,3224,-,All Island
1 January 2022 09:00,3288,-,All Island
1 January 2022 09:15,3367,-,All Island
1 January 2022 09:30,3451,-,All Island
1 January 2022 09:45,3552,-,All Island
1 January 2022 10:00,3621,-,All Island
1 January 2022 10:15,3708,-,All Island
1 January 2022 10:30,3775,-,All Island
1 January 2022 10:45,3857,-,All Island
1 January 2022 11:00,3927,-,All Island
1 January 2022 11:15,4009,-,All Island
1 January 2022 11:30,4056,-,All Island
1 January 2022 11:45,4141,-,All Island
1 January 2022 12:00,4223,-,All Island
1 January 2022 12:15,4291,-,All Island
1 January 2022 12:30,4364,-,All Island
1 January 2022 12:45,4418,-,All Island
1 January 2022 13:00,4464,-,All Island
1 January 2022 13:15,4493,-,All Island
1 January 2022 13:30,4497,-,All Island
1 January 2022 13:45,4453,-,All Island
1 January 2022 14:00,4439,-,All Island
1 January 2022 14:15,4400,-,All Island
1 January 2022 14:30,4410,-,All Island
1 January 2022 14:45,4382,-,All Island
1 January 2022 15:00,4410,-,All Island
1 January 2022 15:15,4394,-,All Island
1 January 2022 15:30,4420,-,All Island
1 January 2022 15:45,4471,-,All Island
1 January 2022 16:00,4507,-,All Island
1 January 2022 16:15,4586,-,All Island
1 January 2022 16:30,4688,-,All Island
1 January 2022 16:45,4890,-,All Island
1 January 2022 17:00,4995,-,All Island
1 January 2022 17:15,5084,-,All Island
1 January 2022 17:30,5101,-,All Island
1 January 2022 17:45,5095,-,All Island
1 January 2022 18:00,5047,-,All Island
1 January 2022 18:15,4982,-,All Island
1 January 2022 18:30,4927,-,All Island
1 January 2022 18:45,4843,-,All Island
1 January 2022 19:00,4772,-,All Island
1 January 2022 19:15,4708,-,All Island
1 January 2022 19:30,4649,-,All Island
1 January 2022 19:45,4569,-,All Island
1 January 2022 20:00,4499,-,All Island
1 January 2022 20:15,4464,-,All Island
1 January 2022 20:30,4400,-,All Island
1 January 2022 20:45,4338,-,All Island
1 January 2022 21:00,4249,-,All Island
1 January 2022 21:15,4198,-,All Island
1 January 2022 21:30,4129,-,All Island
1 January 2022 21:45,4072,-,All Island
1 January 2022 22:00,3965,-,All Island
1 January 2022 22:15,3932,-,All Island
1 January 2022 22:30,3856,-,All Island
1 January 2022 22:45,3791,-,All Island
1 January 2022 23:00,3761,-,All Island
1 January 2022 23:15,3758,-,All Island
1 January 2022 23:30,3710,-,All Island
1 January 2022 23:45,3637,-,All Island
2 January 2022 00:00,3564,-,All Island
2 January 2022 00:15,3510,-,All Island
2 January 2022 00:30,3452,-,All Island
2 January 2022 00:45,3377,-,All Island
2 January 2022 01:00,3338,-,All Island
2 January 2022 01:15,3315,-,All Island
2 January 2022 01:30,3271,-,All Island
2 January 2022 01:45,3209,-,All Island
2 January 2022 02:00,3163,-,All Island
