DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
1 June 2022 00:00,485,453,All Island
1 June 2022 00:15,478,463,All Island
1 June 2022 00:30,471,467,All Island
1 June 2022 00:45,465,474,All Island
1 June 2022 01:00,464,434,All Island
1 June 2022 01:15,453,431,All Island
1 June 2022 01:30,443,404,All Island
1 June 2022 01:45,432,417,All Island
1 June 2022 02:00,422,403,All Island
1 June 2022 02:15,399,382,All Island
1 June 2022 02:30,377,381,All Island
1 June 2022 02:45,354,378,All Island
1 June 2022 03:00,332,378,All Island
1 June 2022 03:15,324,362,All Island
1 June 2022 03:30,317,349,All Island
1 June 2022 03:45,310,346,All Island
1 June 2022 04:00,303,344,All Island
1 June 2022 04:15,299,338,All Island
1 June 2022 04:30,295,332,All Island
1 June 2022 04:45,291,328,All Island
1 June 2022 05:00,288,335,All Island
1 June 2022 05:15,282,323,All Island
1 June 2022 05:30,276,311,All Island
1 June 2022 05:45,270,298,All Island
1 June 2022 06:00,264,283,All Island
1 June 2022 06:15,250,276,All Island
1 June 2022 06:30,236,253,All Island
1 June 2022 06:45,222,239,All Island
1 June 2022 07:00,201,204,All Island
1 June 2022 07:15,187,190,All Island
1 June 2022 07:30,172,184,All Island
1 June 2022 07:45,158,154,All Island
1 June 2022 08:00,144,145,All Island
1 June 2022 08:15,134,137,All Island
1 June 2022 08:30,123,139,All Island
1 June 2022 08:45,113,132,All Island
1 June 2022 09:00,103,141,All Island
1 June 2022 09:15,96,145,All Island
1 June 2022 09:30,89,135,All Island
1 June 2022 09:45,82,111,All Island
1 June 2022 10:00,75,104,All Island
1 June 2022 10:15,72,113,All Island
1 June 2022 10:30,69,98,All Island
1 June 2022 10:45,66,90,All Island
1 June 2022 11:00,64,65,All Island
1 June 2022 11:15,61,70,All Island
1 June 2022 11:30,58,61,All Island
1 June 2022 11:45,56,53,All Island
1 June 2022 12:00,53,46,All Island
1 June 2022 12:15,54,40,All Island
1 June 2022 12:30,55,32,All Island
1 June 2022 12:45,55,46,All Island
