DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
1 October 2021 00:00,3434,2550,All Island
1 October 2021 00:15,3440,2632,All Island
1 October 2021 00:30,3446,2626,All Island
1 October 2021 00:45,3452,2612,All Island
1 October 2021 01:00,3252,2628,All Island
1 October 2021 01:15,3269,2647,All Island
1 October 2021 01:30,3286,2674,All Island
1 October 2021 01:45,3303,2633,All Island
1 October 2021 02:00,3320,2619,All Island
1 October 2021 02:15,3365,2622,All Island
1 October 2021 02:30,3410,2572,All Island
1 October 2021 02:45,3455,2546,All Island
1 October 2021 03:00,3500,2504,All Island
1 October 2021 03:15,3510,2407,All Island
1 October 2021 03:30,3519,2390,All Island
1 October 2021 03:45,3529,2430,All Island
1 October 2021 04:00,3538,2440,All Island
1 October 2021 04:15,3523,2446,All Island
1 October 2021 04:30,3508,2464,All Island
1 October 2021 04:45,3493,2447,All Island
1 October 2021 05:00,3478,2419,All Island
1 October 2021 05:15,3418,2388,All Island
1 October 2021 05:30,3357,2470,All Island
1 October 2021 05:45,3296,2470,All Island
1 October 2021 06:00,3235,2579,All Island
1 October 2021 06:15,3201,2695,All Island
1 October 2021 06:30,3167,2796,All Island
1 October 2021 06:45,3133,2851,All Island
1 October 2021 07:00,3144,2812,All Island
1 October 2021 07:15,3150,2756,All Island
1 October 2021 07:30,3157,2767,All Island
1 October 2021 07:45,3164,2750,All Island
1 October 2021 08:00,3109,2815,All Island
1 October 2021 08:15,3110,2657,All Island
1 October 2021 08:30,3112,2680,All Island
1 October 2021 08:45,3113,2691,All Island
1 October 2021 09:00,3114,2687,All Island
1 October 2021 09:15,3135,2711,All Island
1 October 2021 09:30,3157,2683,All Island
1 October 2021 09:45,3178,2748,All Island
1 October 2021 10:00,3199,2822,All Island
1 October 2021 10:15,3221,2898,All Island
1 October 2021 10:30,3243,2969,All Island
1 October 2021 10:45,3265,3069,All Island
1 October 2021 11:00,3286,3137,All Island
1 October 2021 11:15,3320,3206,All Island
1 October 2021 11:30,3354,3220,All Island
1 October 2021 11:45,3387,3188,All Island
1 October 2021 12:00,3421,3143,All Island
1 October 2021 12:15,3434,3237,All Island
1 October 2021 12:30,3446,3223,All Island
1 October 2021 12:45,3458,3228,All Island
1 October 2021 13:00,3462,3097,All Island
1 October 2021 13:15,3459,3019,All Island
1 October 2021 13:30,3456,2973,All Island
1 October 2021 13:45,3453,2948,All Island
1 October 2021 14:00,3450,2977,All Island
1 October 2021 14:15,3403,3029,All Island
1 October 2021 14:30,3356,2989,All Island
1 October 2021 14:45,3309,2941,All Island
1 October 2021 15:00,3262,2927,All Island
1 October 2021 15:15,3203,3031,All Island
1 October 2021 15:30,3145,3093,All Island
1 October 2021 15:45,3086,3162,All Island
1 October 2021 16:00,3027,3049,All Island
1 October 2021 16:15,2973,3036,All Island
1 October 2021 16:30,2919,2991,All Island
1 October 2021 16:45,2865,2996,All Island
1 October 2021 17:00,2879,2865,All Island
1 October 2021 17:15,2838,2761,All Island
1 October 2021 17:30,2798,2740,All Island
1 October 2021 17:45,2758,2603,All Island
1 October 2021 18:00,2718,2521,All Island
1 October 2021 18:15,2670,2403,All Island
1 October 2021 18:30,2622,2383,All Island
1 October 2021 18:45,2575,2388,All Island
1 October 2021 19:00,2324,2342,All Island
1 October 2021 19:15,2296,2345,All Island
1 October 2021 19:30,2269,2236,All Island
1 October 2021 19:45,2242,2290,All Island
1 October 2021 20:00,2215,2306,All Island
1 October 2021 20:15,2181,2190,All Island
1 October 2021 20:30,2148,2086,All Island
1 October 2021 20:45,2115,1995,All Island
1 October 2021 21:00,2081,1989,All Island
1 October 2021 21:15,2069,1987,All Island
1 October 2021 21:30,2056,2016,All Island
1 October 2021 21:45,2044,2007,All Island
1 October 2021 22:00,2031,1958,All Island
1 October 2021 22:15,2001,1890,All Island
1 October 2021 22:30,1971,1775,All Island
1 October 2021 22:45,1941,1773,All Island
1 October 2021 23:00,1910,1740,All Island
1 October 2021 23:15,1889,1683,All Island
1 October 2021 23:30,1868,1744,All Island
1 October 2021 23:45,1846,1820,All Island
2 October 2021 00:00,1825,1818,All Island
