DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 August 2022 00:00,3403,-,All Island
1 August 2022 00:15,3367,-,All Island
1 August 2022 00:30,3317,-,All Island
1 August 2022 00:45,3265,-,All Island
1 August 2022 01:00,3225,-,All Island
1 August 2022 01:15,3201,-,All Island
1 August 2022 01:30,3159,-,All Island
1 August 2022 01:45,3125,-,All Island
1 August 2022 02:00,3104,-,All Island
1 August 2022 02:15,3101,-,All Island
1 August 2022 02:30,3067,-,All Island
1 August 2022 02:45,3045,-,All Island
1 August 2022 03:00,3015,-,All Island
1 August 2022 03:15,3020,-,All Island
1 August 2022 03:30,2997,-,All Island
1 August 2022 03:45,2989,-,All Island
1 August 2022 04:00,2982,-,All Island
1 August 2022 04:15,2984,-,All Island
1 August 2022 04:30,2986,-,All Island
1 August 2022 04:45,3001,-,All Island
1 August 2022 05:00,3016,-,All Island
1 August 2022 05:15,3036,-,All Island
1 August 2022 05:30,3004,-,All Island
1 August 2022 05:45,2993,-,All Island
1 August 2022 06:00,3028,-,All Island
1 August 2022 06:15,3118,-,All Island
1 August 2022 06:30,3154,-,All Island
1 August 2022 06:45,3220,-,All Island
1 August 2022 07:00,3309,-,All Island
1 August 2022 07:15,3430,-,All Island
1 August 2022 07:30,3484,-,All Island
1 August 2022 07:45,3574,-,All Island
1 August 2022 08:00,3673,-,All Island
1 August 2022 08:15,3792,-,All Island
1 August 2022 08:30,3869,-,All Island
1 August 2022 08:45,3944,-,All Island
1 August 2022 09:00,4010,-,All Island
1 August 2022 09:15,4072,-,All Island
1 August 2022 09:30,4111,-,All Island
1 August 2022 09:45,4153,-,All Island
1 August 2022 10:00,4157,-,All Island
1 August 2022 10:15,4194,-,All Island
1 August 2022 10:30,4217,-,All Island
1 August 2022 10:45,4218,-,All Island
1 August 2022 11:00,4249,-,All Island
1 August 2022 11:15,4273,-,All Island
1 August 2022 11:30,4278,-,All Island
1 August 2022 11:45,4311,-,All Island
1 August 2022 12:00,4328,-,All Island
1 August 2022 12:15,4359,-,All Island
1 August 2022 12:30,4396,-,All Island
1 August 2022 12:45,4402,-,All Island
1 August 2022 13:00,4394,-,All Island
1 August 2022 13:15,4393,-,All Island
1 August 2022 13:30,4364,-,All Island
1 August 2022 13:45,4358,-,All Island
1 August 2022 14:00,4351,-,All Island
1 August 2022 14:15,4356,-,All Island
1 August 2022 14:30,4352,-,All Island
1 August 2022 14:45,4314,-,All Island
1 August 2022 15:00,4333,-,All Island
1 August 2022 15:15,4364,-,All Island
1 August 2022 15:30,4396,-,All Island
1 August 2022 15:45,4397,-,All Island
1 August 2022 16:00,4420,-,All Island
1 August 2022 16:15,4480,-,All Island
1 August 2022 16:30,4527,-,All Island
1 August 2022 16:45,4575,-,All Island
1 August 2022 17:00,4631,-,All Island
1 August 2022 17:15,4692,-,All Island
1 August 2022 17:30,4723,-,All Island
1 August 2022 17:45,4732,-,All Island
1 August 2022 18:00,4730,-,All Island
1 August 2022 18:15,4659,-,All Island
1 August 2022 18:30,4631,-,All Island
1 August 2022 18:45,4570,-,All Island
1 August 2022 19:00,4501,-,All Island
1 August 2022 19:15,4475,-,All Island
1 August 2022 19:30,4404,-,All Island
1 August 2022 19:45,4335,-,All Island
1 August 2022 20:00,4292,-,All Island
1 August 2022 20:15,4276,-,All Island
1 August 2022 20:30,4244,-,All Island
1 August 2022 20:45,4208,-,All Island
1 August 2022 21:00,4186,-,All Island
1 August 2022 21:15,4145,-,All Island
1 August 2022 21:30,4130,-,All Island
1 August 2022 21:45,4118,-,All Island
1 August 2022 22:00,4069,-,All Island
1 August 2022 22:15,3999,-,All Island
1 August 2022 22:30,3895,-,All Island
1 August 2022 22:45,3823,-,All Island
1 August 2022 23:00,3716,-,All Island
1 August 2022 23:15,3618,-,All Island
1 August 2022 23:30,3537,-,All Island
1 August 2022 23:45,3476,-,All Island
2 August 2022 00:00,3434,-,All Island
2 August 2022 00:15,3350,-,All Island
2 August 2022 00:30,3305,-,All Island
2 August 2022 00:45,3239,-,All Island
2 August 2022 01:00,3194,-,All Island
2 August 2022 01:15,3184,-,All Island
2 August 2022 01:30,3141,-,All Island
2 August 2022 01:45,3107,-,All Island
2 August 2022 02:00,3071,-,All Island
2 August 2022 02:15,3071,-,All Island
2 August 2022 02:30,3040,-,All Island
2 August 2022 02:45,3020,-,All Island
2 August 2022 03:00,2999,-,All Island
2 August 2022 03:15,3053,-,All Island
2 August 2022 03:30,3011,-,All Island
2 August 2022 03:45,2988,-,All Island
2 August 2022 04:00,3005,-,All Island
2 August 2022 04:15,3039,-,All Island
2 August 2022 04:30,3040,-,All Island
2 August 2022 04:45,3028,-,All Island
2 August 2022 05:00,3037,-,All Island
2 August 2022 05:15,3105,-,All Island
2 August 2022 05:30,3101,-,All Island
2 August 2022 05:45,3147,-,All Island
2 August 2022 06:00,3225,-,All Island
2 August 2022 06:15,3353,-,All Island
2 August 2022 06:30,3414,-,All Island
2 August 2022 06:45,3549,-,All Island
2 August 2022 07:00,3692,-,All Island
2 August 2022 07:15,3910,-,All Island
2 August 2022 07:30,4013,-,All Island
2 August 2022 07:45,4161,-,All Island
2 August 2022 08:00,4276,-,All Island
2 August 2022 08:15,4429,-,All Island
2 August 2022 08:30,4502,-,All Island
2 August 2022 08:45,4582,-,All Island
2 August 2022 09:00,4633,-,All Island
2 August 2022 09:15,4695,-,All Island
2 August 2022 09:30,4708,-,All Island
2 August 2022 09:45,4708,-,All Island
2 August 2022 10:00,4738,-,All Island
2 August 2022 10:15,4729,-,All Island
2 August 2022 10:30,4747,-,All Island
2 August 2022 10:45,4746,-,All Island
2 August 2022 11:00,4748,-,All Island
2 August 2022 11:15,4761,-,All Island
2 August 2022 11:30,4766,-,All Island
2 August 2022 11:45,4757,-,All Island
2 August 2022 12:00,4763,-,All Island
2 August 2022 12:15,4749,-,All Island
2 August 2022 12:30,4772,-,All Island
2 August 2022 12:45,4809,-,All Island
2 August 2022 13:00,4786,-,All Island
2 August 2022 13:15,4777,-,All Island
2 August 2022 13:30,4772,-,All Island
2 August 2022 13:45,4713,-,All Island
2 August 2022 14:00,4686,-,All Island
2 August 2022 14:15,4698,-,All Island
2 August 2022 14:30,4698,-,All Island
2 August 2022 14:45,4677,-,All Island
2 August 2022 15:00,4640,-,All Island
2 August 2022 15:15,4661,-,All Island
2 August 2022 15:30,4679,-,All Island
2 August 2022 15:45,4686,-,All Island
2 August 2022 16:00,4687,-,All Island
2 August 2022 16:15,4707,-,All Island
2 August 2022 16:30,4779,-,All Island
2 August 2022 16:45,4838,-,All Island
2 August 2022 17:00,4888,-,All Island
2 August 2022 17:15,4919,-,All Island
2 August 2022 17:30,4943,-,All Island
2 August 2022 17:45,4937,-,All Island
2 August 2022 18:00,4914,-,All Island
2 August 2022 18:15,4854,-,All Island
2 August 2022 18:30,4816,-,All Island
2 August 2022 18:45,4719,-,All Island
2 August 2022 19:00,4702,-,All Island
2 August 2022 19:15,4634,-,All Island
2 August 2022 19:30,4599,-,All Island
2 August 2022 19:45,4523,-,All Island
2 August 2022 20:00,4482,-,All Island
2 August 2022 20:15,4459,-,All Island
