DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 March 2021 00:00,3753,-,All Island
1 March 2021 00:15,3708,-,All Island
1 March 2021 00:30,3644,-,All Island
1 March 2021 00:45,3588,-,All Island
1 March 2021 01:00,3542,-,All Island
1 March 2021 01:15,3526,-,All Island
1 March 2021 01:30,3487,-,All Island
1 March 2021 01:45,3454,-,All Island
1 March 2021 02:00,3421,-,All Island
1 March 2021 02:15,3401,-,All Island
1 March 2021 02:30,3371,-,All Island
1 March 2021 02:45,3359,-,All Island
1 March 2021 03:00,3340,-,All Island
1 March 2021 03:15,3346,-,All Island
1 March 2021 03:30,3339,-,All Island
1 March 2021 03:45,3333,-,All Island
1 March 2021 04:00,3346,-,All Island
1 March 2021 04:15,3350,-,All Island
1 March 2021 04:30,3346,-,All Island
1 March 2021 04:45,3352,-,All Island
1 March 2021 05:00,3384,-,All Island
1 March 2021 05:15,3443,-,All Island
1 March 2021 05:30,3454,-,All Island
1 March 2021 05:45,3504,-,All Island
1 March 2021 06:00,3601,-,All Island
1 March 2021 06:15,3765,-,All Island
1 March 2021 06:30,3857,-,All Island
1 March 2021 06:45,4002,-,All Island
1 March 2021 07:00,4145,-,All Island
1 March 2021 07:15,4349,-,All Island
1 March 2021 07:30,4475,-,All Island
1 March 2021 07:45,4648,-,All Island
1 March 2021 08:00,4782,-,All Island
1 March 2021 08:15,4932,-,All Island
1 March 2021 08:30,5030,-,All Island
1 March 2021 08:45,5101,-,All Island
1 March 2021 09:00,5171,-,All Island
1 March 2021 09:15,5236,-,All Island
1 March 2021 09:30,5269,-,All Island
1 March 2021 09:45,5286,-,All Island
1 March 2021 10:00,5290,-,All Island
1 March 2021 10:15,5282,-,All Island
1 March 2021 10:30,5292,-,All Island
1 March 2021 10:45,5286,-,All Island
1 March 2021 11:00,5282,-,All Island
1 March 2021 11:15,5289,-,All Island
1 March 2021 11:30,5269,-,All Island
1 March 2021 11:45,5262,-,All Island
1 March 2021 12:00,5266,-,All Island
1 March 2021 12:15,5296,-,All Island
1 March 2021 12:30,5321,-,All Island
1 March 2021 12:45,5326,-,All Island
1 March 2021 13:00,5308,-,All Island
1 March 2021 13:15,5261,-,All Island
1 March 2021 13:30,5158,-,All Island
1 March 2021 13:45,5089,-,All Island
1 March 2021 14:00,5062,-,All Island
1 March 2021 14:15,5048,-,All Island
1 March 2021 14:30,5003,-,All Island
1 March 2021 14:45,4988,-,All Island
1 March 2021 15:00,4987,-,All Island
1 March 2021 15:15,4994,-,All Island
1 March 2021 15:30,4997,-,All Island
1 March 2021 15:45,5015,-,All Island
1 March 2021 16:00,5053,-,All Island
1 March 2021 16:15,5107,-,All Island
1 March 2021 16:30,5160,-,All Island
1 March 2021 16:45,5265,-,All Island
1 March 2021 17:00,5375,-,All Island
1 March 2021 17:15,5486,-,All Island
1 March 2021 17:30,5596,-,All Island
1 March 2021 17:45,5661,-,All Island
1 March 2021 18:00,5702,-,All Island
1 March 2021 18:15,5733,-,All Island
1 March 2021 18:30,5857,-,All Island
1 March 2021 18:45,5872,-,All Island
