DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
1 August 2019 00:00,383,445,All Island
1 August 2019 00:15,380,426,All Island
1 August 2019 00:30,378,402,All Island
1 August 2019 00:45,375,390,All Island
1 August 2019 01:00,325,368,All Island
1 August 2019 01:15,318,346,All Island
1 August 2019 01:30,311,323,All Island
1 August 2019 01:45,304,298,All Island
1 August 2019 02:00,298,289,All Island
1 August 2019 02:15,293,281,All Island
1 August 2019 02:30,288,246,All Island
1 August 2019 02:45,283,226,All Island
1 August 2019 03:00,275,215,All Island
1 August 2019 03:15,265,223,All Island
1 August 2019 03:30,255,212,All Island
1 August 2019 03:45,245,202,All Island
1 August 2019 04:00,235,179,All Island
1 August 2019 04:15,225,176,All Island
1 August 2019 04:30,214,173,All Island
1 August 2019 04:45,204,165,All Island
1 August 2019 05:00,196,163,All Island
1 August 2019 05:15,192,158,All Island
1 August 2019 05:30,187,150,All Island
1 August 2019 05:45,182,142,All Island
1 August 2019 06:00,180,136,All Island
1 August 2019 06:15,179,118,All Island
1 August 2019 06:30,178,106,All Island
1 August 2019 06:45,177,90,All Island
1 August 2019 07:00,129,80,All Island
1 August 2019 07:15,121,67,All Island
1 August 2019 07:30,113,61,All Island
1 August 2019 07:45,105,52,All Island
1 August 2019 08:00,98,40,All Island
1 August 2019 08:15,92,40,All Island
1 August 2019 08:30,87,34,All Island
1 August 2019 08:45,81,31,All Island
1 August 2019 09:00,76,19,All Island
1 August 2019 09:15,72,10,All Island
1 August 2019 09:30,68,5,All Island
1 August 2019 09:45,64,5,All Island
1 August 2019 10:00,61,3,All Island
1 August 2019 10:15,58,4,All Island
1 August 2019 10:30,56,2,All Island
1 August 2019 10:45,53,2,All Island
1 August 2019 11:00,51,2,All Island
1 August 2019 11:15,48,5,All Island
1 August 2019 11:30,46,3,All Island
1 August 2019 11:45,44,3,All Island
1 August 2019 12:00,43,4,All Island
1 August 2019 12:15,42,4,All Island
1 August 2019 12:30,41,7,All Island
1 August 2019 12:45,41,5,All Island
1 August 2019 13:00,42,11,All Island
1 August 2019 13:15,41,13,All Island
1 August 2019 13:30,41,20,All Island
1 August 2019 13:45,40,23,All Island
1 August 2019 14:00,41,24,All Island
1 August 2019 14:15,42,26,All Island
1 August 2019 14:30,44,27,All Island
1 August 2019 14:45,45,27,All Island
1 August 2019 15:00,48,29,All Island
1 August 2019 15:15,53,30,All Island
1 August 2019 15:30,58,30,All Island
1 August 2019 15:45,63,26,All Island
1 August 2019 16:00,67,31,All Island
1 August 2019 16:15,70,30,All Island
1 August 2019 16:30,72,40,All Island
1 August 2019 16:45,75,47,All Island
1 August 2019 17:00,77,41,All Island
1 August 2019 17:15,79,56,All Island
1 August 2019 17:30,82,51,All Island
1 August 2019 17:45,84,55,All Island
1 August 2019 18:00,86,54,All Island
1 August 2019 18:15,87,52,All Island
1 August 2019 18:30,89,53,All Island
1 August 2019 18:45,91,56,All Island
1 August 2019 19:00,85,58,All Island
1 August 2019 19:15,86,60,All Island
1 August 2019 19:30,86,61,All Island
1 August 2019 19:45,87,61,All Island
1 August 2019 20:00,89,64,All Island
1 August 2019 20:15,92,67,All Island
1 August 2019 20:30,96,73,All Island
1 August 2019 20:45,100,85,All Island
1 August 2019 21:00,104,94,All Island
1 August 2019 21:15,110,98,All Island
1 August 2019 21:30,115,97,All Island
1 August 2019 21:45,121,101,All Island
1 August 2019 22:00,124,104,All Island
1 August 2019 22:15,125,112,All Island
1 August 2019 22:30,126,117,All Island
1 August 2019 22:45,127,110,All Island
1 August 2019 23:00,128,104,All Island
1 August 2019 23:15,129,103,All Island
1 August 2019 23:30,131,99,All Island
1 August 2019 23:45,132,106,All Island
2 August 2019 00:00,133,105,All Island
2 August 2019 00:15,132,108,All Island
2 August 2019 00:30,131,107,All Island
2 August 2019 00:45,131,129,All Island
2 August 2019 01:00,152,139,All Island
2 August 2019 01:15,151,149,All Island
2 August 2019 01:30,150,149,All Island
2 August 2019 01:45,149,153,All Island
2 August 2019 02:00,148,148,All Island
2 August 2019 02:15,145,148,All Island
2 August 2019 02:30,143,153,All Island
2 August 2019 02:45,140,147,All Island
2 August 2019 03:00,138,133,All Island
2 August 2019 03:15,136,125,All Island
2 August 2019 03:30,135,114,All Island
2 August 2019 03:45,133,110,All Island
2 August 2019 04:00,132,112,All Island
2 August 2019 04:15,132,107,All Island
2 August 2019 04:30,132,97,All Island
2 August 2019 04:45,132,89,All Island
2 August 2019 05:00,131,79,All Island
2 August 2019 05:15,128,80,All Island
2 August 2019 05:30,126,78,All Island
2 August 2019 05:45,123,81,All Island
2 August 2019 06:00,122,83,All Island
2 August 2019 06:15,121,94,All Island
2 August 2019 06:30,120,104,All Island
2 August 2019 06:45,120,119,All Island
2 August 2019 07:00,157,123,All Island
2 August 2019 07:15,163,131,All Island
2 August 2019 07:30,169,133,All Island
2 August 2019 07:45,175,141,All Island
2 August 2019 08:00,175,134,All Island
2 August 2019 08:15,171,135,All Island
2 August 2019 08:30,166,135,All Island
2 August 2019 08:45,162,128,All Island
2 August 2019 09:00,159,129,All Island
2 August 2019 09:15,159,134,All Island
2 August 2019 09:30,159,122,All Island
2 August 2019 09:45,159,130,All Island
2 August 2019 10:00,163,141,All Island
2 August 2019 10:15,171,159,All Island
2 August 2019 10:30,179,191,All Island
2 August 2019 10:45,187,220,All Island
2 August 2019 11:00,195,259,All Island
2 August 2019 11:15,203,273,All Island
2 August 2019 11:30,211,300,All Island
2 August 2019 11:45,218,311,All Island
2 August 2019 12:00,225,315,All Island
2 August 2019 12:15,231,325,All Island
2 August 2019 12:30,237,346,All Island
2 August 2019 12:45,243,373,All Island
2 August 2019 13:00,258,386,All Island
2 August 2019 13:15,264,399,All Island
2 August 2019 13:30,270,405,All Island
2 August 2019 13:45,277,425,All Island
2 August 2019 14:00,281,427,All Island
2 August 2019 14:15,284,433,All Island
2 August 2019 14:30,287,472,All Island
2 August 2019 14:45,290,479,All Island
2 August 2019 15:00,295,534,All Island
2 August 2019 15:15,303,543,All Island
2 August 2019 15:30,312,571,All Island
2 August 2019 15:45,320,592,All Island
2 August 2019 16:00,325,602,All Island
2 August 2019 16:15,327,630,All Island
2 August 2019 16:30,329,667,All Island
2 August 2019 16:45,330,666,All Island
2 August 2019 17:00,333,674,All Island
2 August 2019 17:15,335,680,All Island
2 August 2019 17:30,338,657,All Island
2 August 2019 17:45,341,684,All Island
2 August 2019 18:00,343,707,All Island
2 August 2019 18:15,345,651,All Island
2 August 2019 18:30,348,632,All Island
2 August 2019 18:45,350,652,All Island
2 August 2019 19:00,511,652,All Island
2 August 2019 19:15,512,635,All Island
2 August 2019 19:30,513,598,All Island
2 August 2019 19:45,514,570,All Island
2 August 2019 20:00,509,581,All Island
2 August 2019 20:15,496,562,All Island
2 August 2019 20:30,484,576,All Island
2 August 2019 20:45,472,608,All Island
2 August 2019 21:00,469,635,All Island
2 August 2019 21:15,474,659,All Island
2 August 2019 21:30,480,688,All Island
2 August 2019 21:45,485,740,All Island
2 August 2019 22:00,493,776,All Island
2 August 2019 22:15,503,845,All Island
2 August 2019 22:30,513,851,All Island
2 August 2019 22:45,523,849,All Island
2 August 2019 23:00,528,843,All Island
2 August 2019 23:15,529,828,All Island
2 August 2019 23:30,530,848,All Island
2 August 2019 23:45,531,872,All Island
3 August 2019 00:00,527,853,All Island
3 August 2019 00:15,519,851,All Island
3 August 2019 00:30,510,849,All Island
3 August 2019 00:45,502,844,All Island
3 August 2019 01:00,601,799,All Island
3 August 2019 01:15,603,804,All Island
3 August 2019 01:30,606,830,All Island
3 August 2019 01:45,608,866,All Island
3 August 2019 02:00,616,882,All Island
3 August 2019 02:15,630,880,All Island
3 August 2019 02:30,644,876,All Island
3 August 2019 02:45,658,879,All Island
3 August 2019 03:00,669,882,All Island
3 August 2019 03:15,677,901,All Island
3 August 2019 03:30,685,907,All Island
3 August 2019 03:45,693,926,All Island
3 August 2019 04:00,695,928,All Island
3 August 2019 04:15,690,940,All Island
3 August 2019 04:30,684,906,All Island
3 August 2019 04:45,679,925,All Island
3 August 2019 05:00,675,919,All Island
3 August 2019 05:15,673,904,All Island
3 August 2019 05:30,670,889,All Island
3 August 2019 05:45,668,910,All Island
3 August 2019 06:00,670,921,All Island
3 August 2019 06:15,675,930,All Island
3 August 2019 06:30,681,933,All Island
3 August 2019 06:45,687,914,All Island
3 August 2019 07:00,715,929,All Island
3 August 2019 07:15,734,991,All Island
3 August 2019 07:30,753,986,All Island
3 August 2019 07:45,771,1006,All Island
3 August 2019 08:00,786,1027,All Island
3 August 2019 08:15,797,1070,All Island
3 August 2019 08:30,808,1056,All Island
3 August 2019 08:45,818,1052,All Island
3 August 2019 09:00,836,1086,All Island
3 August 2019 09:15,861,1057,All Island
3 August 2019 09:30,886,1071,All Island
3 August 2019 09:45,911,1145,All Island
3 August 2019 10:00,932,1134,All Island
3 August 2019 10:15,949,1175,All Island
3 August 2019 10:30,967,1278,All Island
3 August 2019 10:45,984,1294,All Island
3 August 2019 11:00,1003,1365,All Island
3 August 2019 11:15,1023,1452,All Island
3 August 2019 11:30,1043,1437,All Island
3 August 2019 11:45,1063,1464,All Island
3 August 2019 12:00,1084,1457,All Island
3 August 2019 12:15,1107,1538,All Island
3 August 2019 12:30,1130,1563,All Island
3 August 2019 12:45,1153,1485,All Island
3 August 2019 13:00,1205,1478,All Island
3 August 2019 13:15,1228,1557,All Island
3 August 2019 13:30,1252,1644,All Island
3 August 2019 13:45,1275,1689,All Island
3 August 2019 14:00,1289,1720,All Island
3 August 2019 14:15,1294,1723,All Island
3 August 2019 14:30,1298,1693,All Island
3 August 2019 14:45,1303,1753,All Island
3 August 2019 15:00,1312,1668,All Island
3 August 2019 15:15,1325,1679,All Island
3 August 2019 15:30,1338,1607,All Island
3 August 2019 15:45,1352,1550,All Island
3 August 2019 16:00,1357,1540,All Island
3 August 2019 16:15,1354,1587,All Island
3 August 2019 16:30,1350,1548,All Island
3 August 2019 16:45,1347,1584,All Island
3 August 2019 17:00,1341,1631,All Island
3 August 2019 17:15,1332,1592,All Island
3 August 2019 17:30,1324,1568,All Island
3 August 2019 17:45,1315,1570,All Island
3 August 2019 18:00,1306,1489,All Island
3 August 2019 18:15,1297,1434,All Island
3 August 2019 18:30,1289,1388,All Island
3 August 2019 18:45,1280,1281,All Island
3 August 2019 19:00,1253,1250,All Island
3 August 2019 19:15,1226,1191,All Island
3 August 2019 19:30,1199,1129,All Island
3 August 2019 19:45,1173,1096,All Island
3 August 2019 20:00,1150,1051,All Island
3 August 2019 20:15,1131,1019,All Island
3 August 2019 20:30,1111,1006,All Island
3 August 2019 20:45,1092,1004,All Island
3 August 2019 21:00,1075,1041,All Island
3 August 2019 21:15,1059,1007,All Island
3 August 2019 21:30,1042,996,All Island
3 August 2019 21:45,1027,979,All Island
3 August 2019 22:00,1008,968,All Island
3 August 2019 22:15,987,957,All Island
3 August 2019 22:30,966,930,All Island
3 August 2019 22:45,945,905,All Island
3 August 2019 23:00,920,881,All Island
3 August 2019 23:15,893,892,All Island
3 August 2019 23:30,866,862,All Island
3 August 2019 23:45,838,898,All Island
4 August 2019 00:00,815,883,All Island
4 August 2019 00:15,796,803,All Island
4 August 2019 00:30,778,756,All Island
4 August 2019 00:45,759,686,All Island
4 August 2019 01:00,714,678,All Island
4 August 2019 01:15,711,668,All Island
4 August 2019 01:30,707,646,All Island
4 August 2019 01:45,704,667,All Island
4 August 2019 02:00,700,657,All Island
4 August 2019 02:15,693,644,All Island
4 August 2019 02:30,687,626,All Island
4 August 2019 02:45,681,596,All Island
4 August 2019 03:00,677,590,All Island
4 August 2019 03:15,674,596,All Island
4 August 2019 03:30,671,545,All Island
4 August 2019 03:45,669,528,All Island
4 August 2019 04:00,665,529,All Island
4 August 2019 04:15,660,548,All Island
4 August 2019 04:30,655,559,All Island
4 August 2019 04:45,650,589,All Island
4 August 2019 05:00,648,601,All Island
4 August 2019 05:15,647,597,All Island
4 August 2019 05:30,647,583,All Island
4 August 2019 05:45,647,627,All Island
4 August 2019 06:00,649,632,All Island
4 August 2019 06:15,653,638,All Island
4 August 2019 06:30,657,659,All Island
4 August 2019 06:45,661,678,All Island
4 August 2019 07:00,718,634,All Island
4 August 2019 07:15,718,642,All Island
4 August 2019 07:30,719,681,All Island
4 August 2019 07:45,720,706,All Island
4 August 2019 08:00,714,688,All Island
4 August 2019 08:15,701,708,All Island
4 August 2019 08:30,687,713,All Island
4 August 2019 08:45,674,704,All Island
4 August 2019 09:00,671,791,All Island
4 August 2019 09:15,679,831,All Island
4 August 2019 09:30,686,892,All Island
4 August 2019 09:45,694,887,All Island
4 August 2019 10:00,708,899,All Island
4 August 2019 10:15,729,933,All Island
4 August 2019 10:30,749,998,All Island
4 August 2019 10:45,770,1034,All Island
4 August 2019 11:00,795,1043,All Island
4 August 2019 11:15,826,1025,All Island
4 August 2019 11:30,856,1103,All Island
4 August 2019 11:45,887,1018,All Island
4 August 2019 12:00,919,992,All Island
4 August 2019 12:15,952,1030,All Island
4 August 2019 12:30,986,1114,All Island
4 August 2019 12:45,1019,1140,All Island
4 August 2019 13:00,1036,1166,All Island
4 August 2019 13:15,1062,1143,All Island
4 August 2019 13:30,1087,1180,All Island
4 August 2019 13:45,1113,1207,All Island
4 August 2019 14:00,1126,1249,All Island
4 August 2019 14:15,1128,1223,All Island
4 August 2019 14:30,1129,1226,All Island
4 August 2019 14:45,1131,1262,All Island
