DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 May 2022 00:00,3542,-,All Island
1 May 2022 00:15,3538,-,All Island
1 May 2022 00:30,3473,-,All Island
1 May 2022 00:45,3411,-,All Island
1 May 2022 01:00,3396,-,All Island
1 May 2022 01:15,3370,-,All Island
1 May 2022 01:30,3320,-,All Island
1 May 2022 01:45,3276,-,All Island
1 May 2022 02:00,3256,-,All Island
1 May 2022 02:15,3244,-,All Island
1 May 2022 02:30,3223,-,All Island
1 May 2022 02:45,3199,-,All Island
1 May 2022 03:00,3175,-,All Island
1 May 2022 03:15,3152,-,All Island
1 May 2022 03:30,3132,-,All Island
1 May 2022 03:45,3120,-,All Island
1 May 2022 04:00,3115,-,All Island
1 May 2022 04:15,3119,-,All Island
1 May 2022 04:30,3117,-,All Island
1 May 2022 04:45,3101,-,All Island
1 May 2022 05:00,3118,-,All Island
1 May 2022 05:15,3146,-,All Island
1 May 2022 05:30,3115,-,All Island
1 May 2022 05:45,3103,-,All Island
1 May 2022 06:00,3112,-,All Island
1 May 2022 06:15,3159,-,All Island
1 May 2022 06:30,3168,-,All Island
1 May 2022 06:45,3203,-,All Island
1 May 2022 07:00,3264,-,All Island
1 May 2022 07:15,3355,-,All Island
1 May 2022 07:30,3395,-,All Island
1 May 2022 07:45,3472,-,All Island
1 May 2022 08:00,3559,-,All Island
1 May 2022 08:15,3689,-,All Island
1 May 2022 08:30,3774,-,All Island
1 May 2022 08:45,3850,-,All Island
1 May 2022 09:00,3934,-,All Island
1 May 2022 09:15,4032,-,All Island
1 May 2022 09:30,4104,-,All Island
1 May 2022 09:45,4181,-,All Island
1 May 2022 10:00,4241,-,All Island
1 May 2022 10:15,4329,-,All Island
1 May 2022 10:30,4356,-,All Island
1 May 2022 10:45,4383,-,All Island
1 May 2022 11:00,4410,-,All Island
1 May 2022 11:15,4465,-,All Island
1 May 2022 11:30,4488,-,All Island
1 May 2022 11:45,4505,-,All Island
1 May 2022 12:00,4532,-,All Island
1 May 2022 12:15,4582,-,All Island
1 May 2022 12:30,4609,-,All Island
1 May 2022 12:45,4627,-,All Island
1 May 2022 13:00,4632,-,All Island
1 May 2022 13:15,4616,-,All Island
1 May 2022 13:30,4553,-,All Island
1 May 2022 13:45,4509,-,All Island
1 May 2022 14:00,4482,-,All Island
1 May 2022 14:15,4449,-,All Island
1 May 2022 14:30,4391,-,All Island
1 May 2022 14:45,4385,-,All Island
1 May 2022 15:00,4363,-,All Island
1 May 2022 15:15,4347,-,All Island
1 May 2022 15:30,4331,-,All Island
1 May 2022 15:45,4343,-,All Island
1 May 2022 16:00,4356,-,All Island
1 May 2022 16:15,4390,-,All Island
1 May 2022 16:30,4387,-,All Island
1 May 2022 16:45,4427,-,All Island
1 May 2022 17:00,4465,-,All Island
1 May 2022 17:15,4510,-,All Island
1 May 2022 17:30,4534,-,All Island
1 May 2022 17:45,4562,-,All Island
1 May 2022 18:00,4569,-,All Island
1 May 2022 18:15,4548,-,All Island
1 May 2022 18:30,4532,-,All Island
1 May 2022 18:45,4499,-,All Island
1 May 2022 19:00,4454,-,All Island
1 May 2022 19:15,4417,-,All Island
1 May 2022 19:30,4374,-,All Island
1 May 2022 19:45,4336,-,All Island
1 May 2022 20:00,4302,-,All Island
1 May 2022 20:15,4279,-,All Island
1 May 2022 20:30,4254,-,All Island
1 May 2022 20:45,4233,-,All Island
1 May 2022 21:00,4249,-,All Island
1 May 2022 21:15,4273,-,All Island
1 May 2022 21:30,4264,-,All Island
1 May 2022 21:45,4226,-,All Island
1 May 2022 22:00,4156,-,All Island
1 May 2022 22:15,4075,-,All Island
1 May 2022 22:30,3992,-,All Island
1 May 2022 22:45,3922,-,All Island
1 May 2022 23:00,3840,-,All Island
1 May 2022 23:15,3762,-,All Island
1 May 2022 23:30,3691,-,All Island
1 May 2022 23:45,3634,-,All Island
2 May 2022 00:00,3585,-,All Island
2 May 2022 00:15,3590,-,All Island
2 May 2022 00:30,3533,-,All Island
2 May 2022 00:45,3490,-,All Island
2 May 2022 01:00,3439,-,All Island
2 May 2022 01:15,3406,-,All Island
2 May 2022 01:30,3359,-,All Island
2 May 2022 01:45,3316,-,All Island
2 May 2022 02:00,3293,-,All Island
2 May 2022 02:15,3291,-,All Island
2 May 2022 02:30,3262,-,All Island
2 May 2022 02:45,3234,-,All Island
2 May 2022 03:00,3206,-,All Island
2 May 2022 03:15,3185,-,All Island
2 May 2022 03:30,3177,-,All Island
2 May 2022 03:45,3150,-,All Island
2 May 2022 04:00,3143,-,All Island
2 May 2022 04:15,3150,-,All Island
2 May 2022 04:30,3154,-,All Island
2 May 2022 04:45,3154,-,All Island
2 May 2022 05:00,3175,-,All Island
2 May 2022 05:15,3203,-,All Island
2 May 2022 05:30,3204,-,All Island
2 May 2022 05:45,3195,-,All Island
2 May 2022 06:00,3233,-,All Island
2 May 2022 06:15,3276,-,All Island
2 May 2022 06:30,3308,-,All Island
2 May 2022 06:45,3373,-,All Island
2 May 2022 07:00,3449,-,All Island
2 May 2022 07:15,3557,-,All Island
2 May 2022 07:30,3611,-,All Island
2 May 2022 07:45,3698,-,All Island
2 May 2022 08:00,3781,-,All Island
2 May 2022 08:15,3905,-,All Island
2 May 2022 08:30,3966,-,All Island
2 May 2022 08:45,4060,-,All Island
2 May 2022 09:00,4127,-,All Island
2 May 2022 09:15,4211,-,All Island
2 May 2022 09:30,4264,-,All Island
2 May 2022 09:45,4328,-,All Island
2 May 2022 10:00,4386,-,All Island
2 May 2022 10:15,4454,-,All Island
2 May 2022 10:30,4485,-,All Island
2 May 2022 10:45,4510,-,All Island
