DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 February 2022 00:00,4092,-,All Island
1 February 2022 00:15,4036,-,All Island
1 February 2022 00:30,3972,-,All Island
1 February 2022 00:45,3913,-,All Island
1 February 2022 01:00,3860,-,All Island
1 February 2022 01:15,3848,-,All Island
1 February 2022 01:30,3811,-,All Island
1 February 2022 01:45,3752,-,All Island
1 February 2022 02:00,3725,-,All Island
1 February 2022 02:15,3718,-,All Island
1 February 2022 02:30,3677,-,All Island
1 February 2022 02:45,3640,-,All Island
1 February 2022 03:00,3620,-,All Island
1 February 2022 03:15,3614,-,All Island
1 February 2022 03:30,3603,-,All Island
1 February 2022 03:45,3588,-,All Island
1 February 2022 04:00,3578,-,All Island
1 February 2022 04:15,3583,-,All Island
1 February 2022 04:30,3573,-,All Island
1 February 2022 04:45,3577,-,All Island
1 February 2022 05:00,3601,-,All Island
1 February 2022 05:15,3676,-,All Island
1 February 2022 05:30,3704,-,All Island
1 February 2022 05:45,3759,-,All Island
1 February 2022 06:00,3884,-,All Island
1 February 2022 06:15,4072,-,All Island
1 February 2022 06:30,4185,-,All Island
1 February 2022 06:45,4344,-,All Island
1 February 2022 07:00,4569,-,All Island
1 February 2022 07:15,4930,-,All Island
1 February 2022 07:30,5074,-,All Island
1 February 2022 07:45,5282,-,All Island
1 February 2022 08:00,5360,-,All Island
1 February 2022 08:15,5422,-,All Island
1 February 2022 08:30,5403,-,All Island
1 February 2022 08:45,5429,-,All Island
1 February 2022 09:00,5481,-,All Island
1 February 2022 09:15,5535,-,All Island
1 February 2022 09:30,5556,-,All Island
1 February 2022 09:45,5556,-,All Island
1 February 2022 10:00,5551,-,All Island
1 February 2022 10:15,5505,-,All Island
1 February 2022 10:30,5511,-,All Island
1 February 2022 10:45,5526,-,All Island
1 February 2022 11:00,5516,-,All Island
1 February 2022 11:15,5507,-,All Island
1 February 2022 11:30,5519,-,All Island
1 February 2022 11:45,5529,-,All Island
1 February 2022 12:00,5536,-,All Island
1 February 2022 12:15,5568,-,All Island
1 February 2022 12:30,5557,-,All Island
1 February 2022 12:45,5597,-,All Island
1 February 2022 13:00,5565,-,All Island
1 February 2022 13:15,5549,-,All Island
1 February 2022 13:30,5476,-,All Island
1 February 2022 13:45,5480,-,All Island
1 February 2022 14:00,5678,-,All Island
1 February 2022 14:15,5487,-,All Island
1 February 2022 14:30,5455,-,All Island
1 February 2022 14:45,5467,-,All Island
1 February 2022 15:00,5481,-,All Island
1 February 2022 15:15,5492,-,All Island
1 February 2022 15:30,5513,-,All Island
1 February 2022 15:45,5562,-,All Island
1 February 2022 16:00,5567,-,All Island
1 February 2022 16:15,5649,-,All Island
1 February 2022 16:30,5752,-,All Island
1 February 2022 16:45,5825,-,All Island
1 February 2022 17:00,5931,-,All Island
1 February 2022 17:15,6068,-,All Island
1 February 2022 17:30,6245,-,All Island
1 February 2022 17:45,6370,-,All Island
1 February 2022 18:00,6345,-,All Island
1 February 2022 18:15,6256,-,All Island
1 February 2022 18:30,6200,-,All Island
1 February 2022 18:45,6109,-,All Island
1 February 2022 19:00,6013,-,All Island
1 February 2022 19:15,5927,-,All Island
1 February 2022 19:30,5867,-,All Island
1 February 2022 19:45,5774,-,All Island
1 February 2022 20:00,5685,-,All Island
1 February 2022 20:15,5576,-,All Island
1 February 2022 20:30,5510,-,All Island
1 February 2022 20:45,5452,-,All Island
1 February 2022 21:00,5362,-,All Island
1 February 2022 21:15,5231,-,All Island
1 February 2022 21:30,5130,-,All Island
1 February 2022 21:45,4990,-,All Island
1 February 2022 22:00,4853,-,All Island
1 February 2022 22:15,4712,-,All Island
1 February 2022 22:30,4544,-,All Island
1 February 2022 22:45,4430,-,All Island
1 February 2022 23:00,4380,-,All Island
1 February 2022 23:15,4338,-,All Island
1 February 2022 23:30,4225,-,All Island
1 February 2022 23:45,4123,-,All Island
2 February 2022 00:00,4038,-,All Island
2 February 2022 00:15,3979,-,All Island
2 February 2022 00:30,3897,-,All Island
2 February 2022 00:45,3838,-,All Island
2 February 2022 01:00,3794,-,All Island
2 February 2022 01:15,3784,-,All Island
2 February 2022 01:30,3743,-,All Island
2 February 2022 01:45,3689,-,All Island
2 February 2022 02:00,3659,-,All Island
2 February 2022 02:15,3639,-,All Island
2 February 2022 02:30,3629,-,All Island
2 February 2022 02:45,3590,-,All Island
2 February 2022 03:00,3565,-,All Island
2 February 2022 03:15,3538,-,All Island
2 February 2022 03:30,3533,-,All Island
2 February 2022 03:45,3506,-,All Island
2 February 2022 04:00,3534,-,All Island
2 February 2022 04:15,3542,-,All Island
2 February 2022 04:30,3533,-,All Island
2 February 2022 04:45,3547,-,All Island
2 February 2022 05:00,3591,-,All Island
2 February 2022 05:15,3658,-,All Island
2 February 2022 05:30,3664,-,All Island
2 February 2022 05:45,3727,-,All Island
2 February 2022 06:00,3836,-,All Island
2 February 2022 06:15,4022,-,All Island
2 February 2022 06:30,4137,-,All Island
2 February 2022 06:45,4300,-,All Island
2 February 2022 07:00,4538,-,All Island
2 February 2022 07:15,4835,-,All Island
2 February 2022 07:30,5012,-,All Island
2 February 2022 07:45,5211,-,All Island
2 February 2022 08:00,5290,-,All Island
2 February 2022 08:15,5333,-,All Island
2 February 2022 08:30,5323,-,All Island
2 February 2022 08:45,5346,-,All Island
2 February 2022 09:00,5393,-,All Island
2 February 2022 09:15,5473,-,All Island
2 February 2022 09:30,5503,-,All Island
2 February 2022 09:45,5512,-,All Island
2 February 2022 10:00,5524,-,All Island
2 February 2022 10:15,5524,-,All Island
2 February 2022 10:30,5526,-,All Island
2 February 2022 10:45,5527,-,All Island
2 February 2022 11:00,5539,-,All Island
2 February 2022 11:15,5550,-,All Island
2 February 2022 11:30,5529,-,All Island
2 February 2022 11:45,5518,-,All Island
2 February 2022 12:00,5541,-,All Island
2 February 2022 12:15,5566,-,All Island
2 February 2022 12:30,5580,-,All Island
2 February 2022 12:45,5578,-,All Island
2 February 2022 13:00,5570,-,All Island
2 February 2022 13:15,5580,-,All Island
2 February 2022 13:30,5494,-,All Island
2 February 2022 13:45,5473,-,All Island
2 February 2022 14:00,5488,-,All Island
2 February 2022 14:15,5478,-,All Island
2 February 2022 14:30,5480,-,All Island
2 February 2022 14:45,5473,-,All Island
2 February 2022 15:00,5478,-,All Island
2 February 2022 15:15,5543,-,All Island
2 February 2022 15:30,5568,-,All Island
2 February 2022 15:45,5584,-,All Island
2 February 2022 16:00,5610,-,All Island
2 February 2022 16:15,5694,-,All Island
2 February 2022 16:30,5774,-,All Island
2 February 2022 16:45,5882,-,All Island
2 February 2022 17:00,5978,-,All Island
2 February 2022 17:15,6120,-,All Island
2 February 2022 17:30,6275,-,All Island
2 February 2022 17:45,6333,-,All Island
2 February 2022 18:00,6316,-,All Island
2 February 2022 18:15,6227,-,All Island
2 February 2022 18:30,6146,-,All Island
2 February 2022 18:45,6074,-,All Island
2 February 2022 19:00,5988,-,All Island
2 February 2022 19:15,5907,-,All Island
2 February 2022 19:30,5826,-,All Island
2 February 2022 19:45,5721,-,All Island
2 February 2022 20:00,5648,-,All Island
2 February 2022 20:15,5576,-,All Island
2 February 2022 20:30,5475,-,All Island
2 February 2022 20:45,5405,-,All Island
2 February 2022 21:00,5325,-,All Island
2 February 2022 21:15,5182,-,All Island
2 February 2022 21:30,5037,-,All Island
2 February 2022 21:45,4923,-,All Island
2 February 2022 22:00,4798,-,All Island
2 February 2022 22:15,4671,-,All Island
2 February 2022 22:30,4540,-,All Island
2 February 2022 22:45,4438,-,All Island
2 February 2022 23:00,4376,-,All Island
2 February 2022 23:15,4336,-,All Island
2 February 2022 23:30,4257,-,All Island
2 February 2022 23:45,4154,-,All Island
3 February 2022 00:00,4067,-,All Island
3 February 2022 00:15,3994,-,All Island
3 February 2022 00:30,3925,-,All Island
3 February 2022 00:45,3832,-,All Island
