DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 August 2019 00:00,3299,-,All Island
1 August 2019 00:15,3230,-,All Island
1 August 2019 00:30,3159,-,All Island
1 August 2019 00:45,3098,-,All Island
1 August 2019 01:00,3030,-,All Island
1 August 2019 01:15,2995,-,All Island
1 August 2019 01:30,2949,-,All Island
1 August 2019 01:45,2917,-,All Island
1 August 2019 02:00,2891,-,All Island
1 August 2019 02:15,2885,-,All Island
1 August 2019 02:30,2859,-,All Island
1 August 2019 02:45,2843,-,All Island
1 August 2019 03:00,2831,-,All Island
1 August 2019 03:15,2820,-,All Island
1 August 2019 03:30,2815,-,All Island
1 August 2019 03:45,2809,-,All Island
1 August 2019 04:00,2797,-,All Island
1 August 2019 04:15,2816,-,All Island
1 August 2019 04:30,2824,-,All Island
1 August 2019 04:45,2830,-,All Island
1 August 2019 05:00,2851,-,All Island
1 August 2019 05:15,2887,-,All Island
1 August 2019 05:30,2871,-,All Island
1 August 2019 05:45,2873,-,All Island
1 August 2019 06:00,2949,-,All Island
1 August 2019 06:15,3094,-,All Island
1 August 2019 06:30,3183,-,All Island
1 August 2019 06:45,3318,-,All Island
1 August 2019 07:00,3470,-,All Island
1 August 2019 07:15,3688,-,All Island
1 August 2019 07:30,3810,-,All Island
1 August 2019 07:45,3963,-,All Island
1 August 2019 08:00,4096,-,All Island
1 August 2019 08:15,4242,-,All Island
1 August 2019 08:30,4338,-,All Island
1 August 2019 08:45,4426,-,All Island
1 August 2019 09:00,4509,-,All Island
1 August 2019 09:15,4565,-,All Island
1 August 2019 09:30,4588,-,All Island
1 August 2019 09:45,4602,-,All Island
1 August 2019 10:00,4599,-,All Island
1 August 2019 10:15,4596,-,All Island
1 August 2019 10:30,4610,-,All Island
1 August 2019 10:45,4621,-,All Island
1 August 2019 11:00,4621,-,All Island
1 August 2019 11:15,4627,-,All Island
1 August 2019 11:30,4629,-,All Island
1 August 2019 11:45,4627,-,All Island
1 August 2019 12:00,4628,-,All Island
1 August 2019 12:15,4640,-,All Island
1 August 2019 12:30,4650,-,All Island
1 August 2019 12:45,4635,-,All Island
1 August 2019 13:00,4623,-,All Island
1 August 2019 13:15,4588,-,All Island
1 August 2019 13:30,4559,-,All Island
1 August 2019 13:45,4548,-,All Island
1 August 2019 14:00,4528,-,All Island
1 August 2019 14:15,4531,-,All Island
1 August 2019 14:30,4508,-,All Island
1 August 2019 14:45,4509,-,All Island
1 August 2019 15:00,4495,-,All Island
1 August 2019 15:15,4492,-,All Island
1 August 2019 15:30,4509,-,All Island
1 August 2019 15:45,4507,-,All Island
1 August 2019 16:00,4514,-,All Island
1 August 2019 16:15,4529,-,All Island
1 August 2019 16:30,4567,-,All Island
1 August 2019 16:45,4613,-,All Island
1 August 2019 17:00,4643,-,All Island
1 August 2019 17:15,4692,-,All Island
1 August 2019 17:30,4731,-,All Island
1 August 2019 17:45,4720,-,All Island
1 August 2019 18:00,4700,-,All Island
1 August 2019 18:15,4645,-,All Island
1 August 2019 18:30,4605,-,All Island
1 August 2019 18:45,4552,-,All Island
1 August 2019 19:00,4481,-,All Island
1 August 2019 19:15,4439,-,All Island
1 August 2019 19:30,4385,-,All Island
1 August 2019 19:45,4335,-,All Island
1 August 2019 20:00,4300,-,All Island
1 August 2019 20:15,4245,-,All Island
1 August 2019 20:30,4209,-,All Island
1 August 2019 20:45,4182,-,All Island
1 August 2019 21:00,4153,-,All Island
1 August 2019 21:15,4126,-,All Island
1 August 2019 21:30,4129,-,All Island
1 August 2019 21:45,4199,-,All Island
1 August 2019 22:00,4182,-,All Island
1 August 2019 22:15,4098,-,All Island
1 August 2019 22:30,4010,-,All Island
1 August 2019 22:45,3906,-,All Island
1 August 2019 23:00,3780,-,All Island
1 August 2019 23:15,3670,-,All Island
1 August 2019 23:30,3548,-,All Island
