DATE & TIME, ACTUAL GENERATION(MW), REGION
1 August 2019 00:00,2784,All Island
1 August 2019 00:15,2758,All Island
1 August 2019 00:30,2636,All Island
1 August 2019 00:45,2622,All Island
1 August 2019 01:00,2625,All Island
1 August 2019 01:15,2649,All Island
1 August 2019 01:30,2706,All Island
1 August 2019 01:45,2684,All Island
1 August 2019 02:00,2672,All Island
1 August 2019 02:15,2684,All Island
1 August 2019 02:30,2640,All Island
1 August 2019 02:45,2612,All Island
1 August 2019 03:00,2602,All Island
1 August 2019 03:15,2599,All Island
1 August 2019 03:30,2586,All Island
1 August 2019 03:45,2571,All Island
1 August 2019 04:00,2622,All Island
1 August 2019 04:15,2627,All Island
1 August 2019 04:30,2636,All Island
1 August 2019 04:45,2658,All Island
1 August 2019 05:00,2605,All Island
1 August 2019 05:15,2592,All Island
1 August 2019 05:30,2581,All Island
1 August 2019 05:45,2579,All Island
1 August 2019 06:00,2606,All Island
1 August 2019 06:15,2634,All Island
1 August 2019 06:30,2654,All Island
1 August 2019 06:45,2639,All Island
1 August 2019 07:00,2716,All Island
1 August 2019 07:15,2861,All Island
1 August 2019 07:30,2907,All Island
1 August 2019 07:45,3073,All Island
1 August 2019 08:00,3140,All Island
1 August 2019 08:15,3283,All Island
1 August 2019 08:30,3381,All Island
1 August 2019 08:45,3465,All Island
1 August 2019 09:00,3548,All Island
1 August 2019 09:15,3604,All Island
1 August 2019 09:30,3627,All Island
1 August 2019 09:45,3642,All Island
1 August 2019 10:00,3640,All Island
1 August 2019 10:15,3632,All Island
1 August 2019 10:30,3646,All Island
1 August 2019 10:45,3661,All Island
1 August 2019 11:00,3661,All Island
1 August 2019 11:15,3666,All Island
1 August 2019 11:30,3669,All Island
1 August 2019 11:45,3666,All Island
1 August 2019 12:00,3664,All Island
1 August 2019 12:15,3673,All Island
1 August 2019 12:30,3683,All Island
1 August 2019 12:45,3670,All Island
1 August 2019 13:00,3656,All Island
1 August 2019 13:15,3619,All Island
1 August 2019 13:30,3590,All Island
1 August 2019 13:45,3580,All Island
1 August 2019 14:00,3560,All Island
1 August 2019 14:15,3563,All Island
1 August 2019 14:30,3541,All Island
1 August 2019 14:45,3543,All Island
1 August 2019 15:00,3532,All Island
1 August 2019 15:15,3529,All Island
1 August 2019 15:30,3542,All Island
1 August 2019 15:45,3542,All Island
1 August 2019 16:00,3547,All Island
1 August 2019 16:15,3563,All Island
1 August 2019 16:30,3604,All Island
1 August 2019 16:45,3647,All Island
1 August 2019 17:00,3677,All Island
1 August 2019 17:15,3724,All Island
1 August 2019 17:30,3763,All Island
1 August 2019 17:45,3752,All Island
1 August 2019 18:00,3736,All Island
1 August 2019 18:15,3677,All Island
1 August 2019 18:30,3637,All Island
1 August 2019 18:45,3585,All Island
1 August 2019 19:00,3514,All Island
1 August 2019 19:15,3475,All Island
1 August 2019 19:30,3418,All Island
1 August 2019 19:45,3368,All Island
1 August 2019 20:00,3338,All Island
1 August 2019 20:15,3308,All Island
1 August 2019 20:30,3360,All Island
1 August 2019 20:45,3349,All Island
1 August 2019 21:00,3333,All Island
1 August 2019 21:15,3387,All Island
1 August 2019 21:30,3296,All Island
1 August 2019 21:45,3346,All Island
1 August 2019 22:00,3408,All Island
1 August 2019 22:15,3425,All Island
1 August 2019 22:30,3286,All Island
1 August 2019 22:45,3107,All Island
1 August 2019 23:00,3014,All Island
1 August 2019 23:15,2976,All Island
1 August 2019 23:30,2929,All Island
1 August 2019 23:45,2924,All Island
2 August 2019 00:00,2827,All Island
2 August 2019 00:15,2742,All Island
2 August 2019 00:30,2589,All Island
2 August 2019 00:45,2586,All Island
2 August 2019 01:00,2595,All Island
2 August 2019 01:15,2623,All Island
2 August 2019 01:30,2664,All Island
2 August 2019 01:45,2651,All Island
2 August 2019 02:00,2614,All Island
2 August 2019 02:15,2618,All Island
2 August 2019 02:30,2531,All Island
2 August 2019 02:45,2508,All Island
2 August 2019 03:00,2480,All Island
2 August 2019 03:15,2490,All Island
2 August 2019 03:30,2558,All Island
