StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-22T13:00:00, 	2024-06-22T13:30:00, 	-26.269, 	52.28
2024-06-22T13:30:00, 	2024-06-22T14:00:00, 	-20.589, 	46.18
2024-06-22T14:00:00, 	2024-06-22T14:30:00, 	-10.267, 	75.55
2024-06-22T14:30:00, 	2024-06-22T15:00:00, 	-0.898, 	75.51
2024-06-22T15:00:00, 	2024-06-22T15:30:00, 	-15.777, 	78.32
2024-06-22T15:30:00, 	2024-06-22T16:00:00, 	8.335, 	121.05
2024-06-22T16:00:00, 	2024-06-22T16:30:00, 	27.535, 	148.13
2024-06-22T16:30:00, 	2024-06-22T17:00:00, 	41.664, 	153.12
2024-06-22T17:00:00, 	2024-06-22T17:30:00, 	51.236, 	155.28
2024-06-22T17:30:00, 	2024-06-22T18:00:00, 	42.477, 	151.63
2024-06-22T18:00:00, 	2024-06-22T18:30:00, 	37.652, 	319.54
2024-06-22T18:30:00, 	2024-06-22T19:00:00, 	39.221, 	212.62
2024-06-22T19:00:00, 	2024-06-22T19:30:00, 	34.04, 	152.77
2024-06-22T19:30:00, 	2024-06-22T20:00:00, 	30.877, 	150.51
2024-06-22T20:00:00, 	2024-06-22T20:30:00, 	31.99, 	151.36
2024-06-22T20:30:00, 	2024-06-22T21:00:00, 	23.072, 	145.19
2024-06-22T21:00:00, 	2024-06-22T21:30:00, 	23.579, 	145.69
2024-06-22T21:30:00, 	2024-06-22T22:00:00, 	26.6, 	147.32
2024-06-22T22:00:00, 	2024-06-22T22:30:00, 	54.822, 	158.64
2024-06-22T22:30:00, 	2024-06-22T23:00:00, 	45.248, 	151.46
2024-06-22T23:00:00, 	2024-06-22T23:30:00, 	36.266, 	147.23
2024-06-22T23:30:00, 	2024-06-23T00:00:00, 	29.813, 	145.21
2024-06-23T00:00:00, 	2024-06-23T00:30:00, 	25.683, 	131.09
2024-06-23T00:30:00, 	2024-06-23T01:00:00, 	24.601, 	121.96
2024-06-23T01:00:00, 	2024-06-23T01:30:00, 	23.006, 	139.2
2024-06-23T01:30:00, 	2024-06-23T02:00:00, 	18.254, 	144.22
