StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-14T15:30:00, 	2024-06-14T16:00:00, 	31.273, 	148.9
2024-06-14T16:00:00, 	2024-06-14T16:30:00, 	21.726, 	147.11
2024-06-14T16:30:00, 	2024-06-14T17:00:00, 	32.021, 	151.13
2024-06-14T17:00:00, 	2024-06-14T17:30:00, 	52.881, 	168.77
2024-06-14T17:30:00, 	2024-06-14T18:00:00, 	43.093, 	159.08
2024-06-14T18:00:00, 	2024-06-14T18:30:00, 	44.438, 	158.45
2024-06-14T18:30:00, 	2024-06-14T19:00:00, 	56.57, 	155.73
2024-06-14T19:00:00, 	2024-06-14T19:30:00, 	60.675, 	148.66
2024-06-14T19:30:00, 	2024-06-14T20:00:00, 	67.287, 	166.44
2024-06-14T20:00:00, 	2024-06-14T20:30:00, 	84.197, 	168.93
2024-06-14T20:30:00, 	2024-06-14T21:00:00, 	82.939, 	175.56
2024-06-14T21:00:00, 	2024-06-14T21:30:00, 	89.012, 	183
2024-06-14T21:30:00, 	2024-06-14T22:00:00, 	96.529, 	189.39
2024-06-14T22:00:00, 	2024-06-14T22:30:00, 	104.645, 	163.52
2024-06-14T22:30:00, 	2024-06-14T23:00:00, 	88.958, 	150.62
2024-06-14T23:00:00, 	2024-06-14T23:30:00, 	80.987, 	147.3
2024-06-14T23:30:00, 	2024-06-15T00:00:00, 	72.222, 	148.89
2024-06-15T00:00:00, 	2024-06-15T00:30:00, 	60.613, 	150.45
2024-06-15T00:30:00, 	2024-06-15T01:00:00, 	51.448, 	148.92
2024-06-15T01:00:00, 	2024-06-15T01:30:00, 	49.173, 	149.47
2024-06-15T01:30:00, 	2024-06-15T02:00:00, 	45.017, 	151.16
2024-06-15T02:00:00, 	2024-06-15T02:30:00, 	43.762, 	146.83
2024-06-15T02:30:00, 	2024-06-15T03:00:00, 	34.623, 	142.92
2024-06-15T03:00:00, 	2024-06-15T03:30:00, 	40.139, 	143.91
2024-06-15T03:30:00, 	2024-06-15T04:00:00, 	37.832, 	143.89
2024-06-15T04:00:00, 	2024-06-15T04:30:00, 	26.641, 	143.1
2024-06-15T04:30:00, 	2024-06-15T05:00:00, 	25.536, 	143.67
2024-06-15T05:00:00, 	2024-06-15T05:30:00, 	35.19, 	142.91
2024-06-15T05:30:00, 	2024-06-15T06:00:00, 	35.89, 	147.9
2024-06-15T06:00:00, 	2024-06-15T06:30:00, 	37.489, 	147.47
2024-06-15T06:30:00, 	2024-06-15T07:00:00, 	38.542, 	148.44
2024-06-15T07:00:00, 	2024-06-15T07:30:00, 	40.408, 	148.33
2024-06-15T07:30:00, 	2024-06-15T08:00:00, 	36.271, 	148.08
2024-06-15T08:00:00, 	2024-06-15T08:30:00, 	35.349, 	147.83
2024-06-15T08:30:00, 	2024-06-15T09:00:00, 	34.772, 	146.46
2024-06-15T09:00:00, 	2024-06-15T09:30:00, 	23.693, 	146.34
2024-06-15T09:30:00, 	2024-06-15T10:00:00, 	25.346, 	148.23
2024-06-15T10:00:00, 	2024-06-15T10:30:00, 	18.38, 	144.45
2024-06-15T10:30:00, 	2024-06-15T11:00:00, 	8.127, 	142.99
2024-06-15T11:00:00, 	2024-06-15T11:30:00, 	2.165, 	126.29
2024-06-15T11:30:00, 	2024-06-15T12:00:00, 	-6.689, 	36.05
2024-06-15T12:00:00, 	2024-06-15T12:30:00, 	-8.512, 	33.02
2024-06-15T12:30:00, 	2024-06-15T13:00:00, 	1.536, 	143.81
2024-06-15T13:00:00, 	2024-06-15T13:30:00, 	2.843, 	143
2024-06-15T13:30:00, 	2024-06-15T14:00:00, 	-0.56, 	94.51
2024-06-15T14:00:00, 	2024-06-15T14:30:00, 	7.589, 	125.55
2024-06-15T14:30:00, 	2024-06-15T15:00:00, 	8.06, 	143.18
2024-06-15T15:00:00, 	2024-06-15T15:30:00, 	15.055, 	143.8
2024-06-15T15:30:00, 	2024-06-15T16:00:00, 	23.875, 	145.51
2024-06-15T16:00:00, 	2024-06-15T16:30:00, 	30.613, 	147.59
2024-06-15T16:30:00, 	2024-06-15T17:00:00, 	35.541, 	148.31
2024-06-15T17:00:00, 	2024-06-15T17:30:00, 	30.718, 	147.94
2024-06-15T17:30:00, 	2024-06-15T18:00:00, 	16.563, 	143.58
2024-06-15T18:00:00, 	2024-06-15T18:30:00, 	12.874, 	143.81
2024-06-15T18:30:00, 	2024-06-15T19:00:00, 	13.473, 	145.81
2024-06-15T19:00:00, 	2024-06-15T19:30:00, 	10.479, 	143.47
2024-06-15T19:30:00, 	2024-06-15T20:00:00, 	17.868, 	144.63
2024-06-15T20:00:00, 	2024-06-15T20:30:00, 	29.553, 	143.88
2024-06-15T20:30:00, 	2024-06-15T21:00:00, 	23.114, 	143.25
2024-06-15T21:00:00, 	2024-06-15T21:30:00, 	21.647, 	145.46
2024-06-15T21:30:00, 	2024-06-15T22:00:00, 	13.391, 	121.79
2024-06-15T22:00:00, 	2024-06-15T22:30:00, 	26.065, 	114.93
2024-06-15T22:30:00, 	2024-06-15T23:00:00, 	30.804, 	113.56
2024-06-15T23:00:00, 	2024-06-15T23:30:00, 	27.756, 	123.22
2024-06-15T23:30:00, 	2024-06-16T00:00:00, 	25.237, 	141.85
2024-06-16T00:00:00, 	2024-06-16T00:30:00, 	20.235, 	141.85
2024-06-16T00:30:00, 	2024-06-16T01:00:00, 	12.132, 	141.56
2024-06-16T01:00:00, 	2024-06-16T01:30:00, 	17.411, 	145.05
2024-06-16T01:30:00, 	2024-06-16T02:00:00, 	16.511, 	142.38
2024-06-16T02:00:00, 	2024-06-16T02:30:00, 	14.544, 	141.85
2024-06-16T02:30:00, 	2024-06-16T03:00:00, 	12.679, 	141.53
2024-06-16T03:00:00, 	2024-06-16T03:30:00, 	8.294, 	137.04
2024-06-16T03:30:00, 	2024-06-16T04:00:00, 	0.253, 	119.78
2024-06-16T04:00:00, 	2024-06-16T04:30:00, 	3.214, 	141.53
2024-06-16T04:30:00, 	2024-06-16T05:00:00, 	1.577, 	127.45
2024-06-16T05:00:00, 	2024-06-16T05:30:00, 	-3.178, 	62.18
2024-06-16T05:30:00, 	2024-06-16T06:00:00, 	-4.006, 	68.84
2024-06-16T06:00:00, 	2024-06-16T06:30:00, 	-8.488, 	72.39
2024-06-16T06:30:00, 	2024-06-16T07:00:00, 	0.856, 	108.27
2024-06-16T07:00:00, 	2024-06-16T07:30:00, 	3.856, 	140.56
2024-06-16T07:30:00, 	2024-06-16T08:00:00, 	7.152, 	142.34
2024-06-16T08:00:00, 	2024-06-16T08:30:00, 	-3.623, 	95.13
2024-06-16T08:30:00, 	2024-06-16T09:00:00, 	-2.555, 	79.93
2024-06-16T09:00:00, 	2024-06-16T09:30:00, 	2.822, 	119.05
2024-06-16T09:30:00, 	2024-06-16T10:00:00, 	8.17, 	142.52
2024-06-16T10:00:00, 	2024-06-16T10:30:00, 	5.582, 	138.72
2024-06-16T10:30:00, 	2024-06-16T11:00:00, 	5.506, 	142.34
2024-06-16T11:00:00, 	2024-06-16T11:30:00, 	1.659, 	142.34
2024-06-16T11:30:00, 	2024-06-16T12:00:00, 	1.223, 	129.57
2024-06-16T12:00:00, 	2024-06-16T12:30:00, 	1.159, 	120.77
2024-06-16T12:30:00, 	2024-06-16T13:00:00, 	-4.994, 	80.49
2024-06-16T13:00:00, 	2024-06-16T13:30:00, 	-2.115, 	77.64
2024-06-16T13:30:00, 	2024-06-16T14:00:00, 	-6.888, 	58.97
2024-06-16T14:00:00, 	2024-06-16T14:30:00, 	-14.597, 	71.24
2024-06-16T14:30:00, 	2024-06-16T15:00:00, 	-11.694, 	75.87
2024-06-16T15:00:00, 	2024-06-16T15:30:00, 	-7.566, 	74.81
2024-06-16T15:30:00, 	2024-06-16T16:00:00, 	7.767, 	116.77
2024-06-16T16:00:00, 	2024-06-16T16:30:00, 	6.557, 	142.34
2024-06-16T16:30:00, 	2024-06-16T17:00:00, 	9.074, 	142.45
2024-06-16T17:00:00, 	2024-06-16T17:30:00, 	12.986, 	142.66
2024-06-16T17:30:00, 	2024-06-16T18:00:00, 	3.239, 	142.34
2024-06-16T18:00:00, 	2024-06-16T18:30:00, 	5.533, 	126.36
2024-06-16T18:30:00, 	2024-06-16T19:00:00, 	9.022, 	94.8
2024-06-16T19:00:00, 	2024-06-16T19:30:00, 	1.74, 	86.19
2024-06-16T19:30:00, 	2024-06-16T20:00:00, 	-5.553, 	75.95
2024-06-16T20:00:00, 	2024-06-16T20:30:00, 	-2.411, 	72.98
2024-06-16T20:30:00, 	2024-06-16T21:00:00, 	-5.794, 	82.49
2024-06-16T21:00:00, 	2024-06-16T21:30:00, 	0.925, 	139.13
2024-06-16T21:30:00, 	2024-06-16T22:00:00, 	-10.295, 	82.51
2024-06-16T22:00:00, 	2024-06-16T22:30:00, 	-10.897, 	71.39
2024-06-16T22:30:00, 	2024-06-16T23:00:00, 	-9.233, 	79.64
2024-06-16T23:00:00, 	2024-06-16T23:30:00, 	-5.023, 	79.46
2024-06-16T23:30:00, 	2024-06-17T00:00:00, 	-13.133, 	74.36
2024-06-17T00:00:00, 	2024-06-17T00:30:00, 	-19.334, 	66.54
2024-06-17T00:30:00, 	2024-06-17T01:00:00, 	-36.455, 	51.31
2024-06-17T01:00:00, 	2024-06-17T01:30:00, 	-27.802, 	56.64
2024-06-17T01:30:00, 	2024-06-17T02:00:00, 	-25.782, 	59.22
2024-06-17T02:00:00, 	2024-06-17T02:30:00, 	-19.957, 	60.05
2024-06-17T02:30:00, 	2024-06-17T03:00:00, 	-18.528, 	61.57
2024-06-17T03:00:00, 	2024-06-17T03:30:00, 	-19.991, 	60.51
2024-06-17T03:30:00, 	2024-06-17T04:00:00, 	-20.747, 	59.34
2024-06-17T04:00:00, 	2024-06-17T04:30:00, 	-14.769, 	70.45
2024-06-17T04:30:00, 	2024-06-17T05:00:00, 	-15.889, 	77.79
2024-06-17T05:00:00, 	2024-06-17T05:30:00, 	-11.582, 	61.29
2024-06-17T05:30:00, 	2024-06-17T06:00:00, 	7.804, 	90.67
2024-06-17T06:00:00, 	2024-06-17T06:30:00, 	10.711, 	115.99
2024-06-17T06:30:00, 	2024-06-17T07:00:00, 	19.819, 	141.9
2024-06-17T07:00:00, 	2024-06-17T07:30:00, 	27.341, 	109.23
2024-06-17T07:30:00, 	2024-06-17T08:00:00, 	25.911, 	160.21
2024-06-17T08:00:00, 	2024-06-17T08:30:00, 	27.296, 	161.65
2024-06-17T08:30:00, 	2024-06-17T09:00:00, 	28.583, 	148.27
2024-06-17T09:00:00, 	2024-06-17T09:30:00, 	18.73, 	143.67
2024-06-17T09:30:00, 	2024-06-17T10:00:00, 	25.597, 	156.89
2024-06-17T10:00:00, 	2024-06-17T10:30:00, 	31.448, 	160.98
2024-06-17T10:30:00, 	2024-06-17T11:00:00, 	23.146, 	142.38
2024-06-17T11:00:00, 	2024-06-17T11:30:00, 	21.917, 	121.63
2024-06-17T11:30:00, 	2024-06-17T12:00:00, 	22.536, 	101.87
2024-06-17T12:00:00, 	2024-06-17T12:30:00, 	15.346, 	87.94
2024-06-17T12:30:00, 	2024-06-17T13:00:00, 	12.408, 	87.09
2024-06-17T13:00:00, 	2024-06-17T13:30:00, 	17.051, 	99.59
2024-06-17T13:30:00, 	2024-06-17T14:00:00, 	17.78, 	106.53
2024-06-17T14:00:00, 	2024-06-17T14:30:00, 	23.352, 	116.46
2024-06-17T14:30:00, 	2024-06-17T15:00:00, 	29.845, 	106.43
2024-06-17T15:00:00, 	2024-06-17T15:30:00, 	26.769, 	148.64
2024-06-17T15:30:00, 	2024-06-17T16:00:00, 	31.145, 	149.28
2024-06-17T16:00:00, 	2024-06-17T16:30:00, 	31.161, 	148.04
2024-06-17T16:30:00, 	2024-06-17T17:00:00, 	38.915, 	163
2024-06-17T17:00:00, 	2024-06-17T17:30:00, 	42.206, 	154.82
2024-06-17T17:30:00, 	2024-06-17T18:00:00, 	42.549, 	160.59
2024-06-17T18:00:00, 	2024-06-17T18:30:00, 	42.949, 	159.32
, 	, 	, 	
, 	, 	, 	
, 	, 	, 	
2024-06-17T21:30:00, 	2024-06-17T22:00:00, 	16.586, 	148.34
2024-06-17T22:00:00, 	2024-06-17T22:30:00, 	-3.825, 	69.86
2024-06-17T22:30:00, 	2024-06-17T23:00:00, 	-0.54, 	91.38
2024-06-17T23:00:00, 	2024-06-17T23:30:00, 	8.544, 	125.74
2024-06-17T23:30:00, 	2024-06-18T00:00:00, 	3.71, 	132.54
2024-06-18T00:00:00, 	2024-06-18T00:30:00, 	3.086, 	135.92
2024-06-18T00:30:00, 	2024-06-18T01:00:00, 	2.289, 	144.66
2024-06-18T01:00:00, 	2024-06-18T01:30:00, 	24.653, 	147.76
2024-06-18T01:30:00, 	2024-06-18T02:00:00, 	20.875, 	145.97
2024-06-18T02:00:00, 	2024-06-18T02:30:00, 	14.856, 	144.66
2024-06-18T02:30:00, 	2024-06-18T03:00:00, 	13.386, 	101.95
2024-06-18T03:00:00, 	2024-06-18T03:30:00, 	5.373, 	144.66
2024-06-18T03:30:00, 	2024-06-18T04:00:00, 	1.852, 	135.37
2024-06-18T04:00:00, 	2024-06-18T04:30:00, 	-11.268, 	85.31
2024-06-18T04:30:00, 	2024-06-18T05:00:00, 	-15.547, 	78.8
2024-06-18T05:00:00, 	2024-06-18T05:30:00, 	-12.993, 	79.16
2024-06-18T05:30:00, 	2024-06-18T06:00:00, 	-16.998, 	72.61
2024-06-18T06:00:00, 	2024-06-18T06:30:00, 	-16.986, 	65.6
2024-06-18T06:30:00, 	2024-06-18T07:00:00, 	-26.617, 	66.7
2024-06-18T07:00:00, 	2024-06-18T07:30:00, 	-31.359, 	60.28
2024-06-18T07:30:00, 	2024-06-18T08:00:00, 	-30.505, 	61.83
2024-06-18T08:00:00, 	2024-06-18T08:30:00, 	-28.32, 	49.39
2024-06-18T08:30:00, 	2024-06-18T09:00:00, 	-44.988, 	40.8
2024-06-18T09:00:00, 	2024-06-18T09:30:00, 	-54.346, 	36.74
2024-06-18T09:30:00, 	2024-06-18T10:00:00, 	-34.316, 	58.62
2024-06-18T10:00:00, 	2024-06-18T10:30:00, 	-19.528, 	64.54
2024-06-18T10:30:00, 	2024-06-18T11:00:00, 	-7.837, 	72.84
2024-06-18T11:00:00, 	2024-06-18T11:30:00, 	-18.944, 	65.47
2024-06-18T11:30:00, 	2024-06-18T12:00:00, 	-25.744, 	61.95
2024-06-18T12:00:00, 	2024-06-18T12:30:00, 	-37.499, 	43.33
2024-06-18T12:30:00, 	2024-06-18T13:00:00, 	-37.041, 	39.56
2024-06-18T13:00:00, 	2024-06-18T13:30:00, 	-25.923, 	59.08
2024-06-18T13:30:00, 	2024-06-18T14:00:00, 	-27.08, 	50.39
2024-06-18T14:00:00, 	2024-06-18T14:30:00, 	-22.685, 	61.73
2024-06-18T14:30:00, 	2024-06-18T15:00:00, 	-25.923, 	65.66
2024-06-18T15:00:00, 	2024-06-18T15:30:00, 	-24.999, 	64.79
2024-06-18T15:30:00, 	2024-06-18T16:00:00, 	-18.058, 	75.58
2024-06-18T16:00:00, 	2024-06-18T16:30:00, 	-12.034, 	66.33
2024-06-18T16:30:00, 	2024-06-18T17:00:00, 	-0.686, 	93.1
2024-06-18T17:00:00, 	2024-06-18T17:30:00, 	-4.007, 	68.25
2024-06-18T17:30:00, 	2024-06-18T18:00:00, 	-3.179, 	77.61
2024-06-18T18:00:00, 	2024-06-18T18:30:00, 	-0.773, 	110.67
2024-06-18T18:30:00, 	2024-06-18T19:00:00, 	-6.304, 	76.02
2024-06-18T19:00:00, 	2024-06-18T19:30:00, 	-4.89, 	69.34
2024-06-18T19:30:00, 	2024-06-18T20:00:00, 	-1.836, 	63.2
2024-06-18T20:00:00, 	2024-06-18T20:30:00, 	4.674, 	134.72
2024-06-18T20:30:00, 	2024-06-18T21:00:00, 	-0.916, 	79.47
2024-06-18T21:00:00, 	2024-06-18T21:30:00, 	-0.614, 	123.07
2024-06-18T21:30:00, 	2024-06-18T22:00:00, 	-15.614, 	77.07
2024-06-18T22:00:00, 	2024-06-18T22:30:00, 	-25.203, 	65.41
2024-06-18T22:30:00, 	2024-06-18T23:00:00, 	-24.729, 	67.98
2024-06-18T23:00:00, 	2024-06-18T23:30:00, 	-3.776, 	73.83
2024-06-18T23:30:00, 	2024-06-19T00:00:00, 	-3.163, 	75.37
2024-06-19T00:00:00, 	2024-06-19T00:30:00, 	-13.224, 	66.33
2024-06-19T00:30:00, 	2024-06-19T01:00:00, 	-7.544, 	72
2024-06-19T01:00:00, 	2024-06-19T01:30:00, 	-3.793, 	75.82
2024-06-19T01:30:00, 	2024-06-19T02:00:00, 	-4.111, 	61.45
2024-06-19T02:00:00, 	2024-06-19T02:30:00, 	-8.205, 	55.39
2024-06-19T02:30:00, 	2024-06-19T03:00:00, 	-13.929, 	63.61
2024-06-19T03:00:00, 	2024-06-19T03:30:00, 	-14.815, 	72.81
2024-06-19T03:30:00, 	2024-06-19T04:00:00, 	-24.372, 	65.14
2024-06-19T04:00:00, 	2024-06-19T04:30:00, 	-26.526, 	54.49
2024-06-19T04:30:00, 	2024-06-19T05:00:00, 	-12.837, 	54.47
2024-06-19T05:00:00, 	2024-06-19T05:30:00, 	-11.019, 	76.84
2024-06-19T05:30:00, 	2024-06-19T06:00:00, 	5.296, 	147.49
2024-06-19T06:00:00, 	2024-06-19T06:30:00, 	11.31, 	144.8
2024-06-19T06:30:00, 	2024-06-19T07:00:00, 	30.096, 	164.45
2024-06-19T07:00:00, 	2024-06-19T07:30:00, 	15.991, 	153.66
2024-06-19T07:30:00, 	2024-06-19T08:00:00, 	11.579, 	145.45
2024-06-19T08:00:00, 	2024-06-19T08:30:00, 	4.226, 	146.19
2024-06-19T08:30:00, 	2024-06-19T09:00:00, 	1.622, 	135.68
2024-06-19T09:00:00, 	2024-06-19T09:30:00, 	-7.26, 	84.16
2024-06-19T09:30:00, 	2024-06-19T10:00:00, 	-18.56, 	73.05
2024-06-19T10:00:00, 	2024-06-19T10:30:00, 	-9.31, 	84.7
2024-06-19T10:30:00, 	2024-06-19T11:00:00, 	-14.274, 	78.53
2024-06-19T11:00:00, 	2024-06-19T11:30:00, 	7.119, 	142.89
2024-06-19T11:30:00, 	2024-06-19T12:00:00, 	1.198, 	135.62
2024-06-19T12:00:00, 	2024-06-19T12:30:00, 	-1.636, 	100.09
2024-06-19T12:30:00, 	2024-06-19T13:00:00, 	-10.333, 	87.87
2024-06-19T13:00:00, 	2024-06-19T13:30:00, 	-12.364, 	115.69
2024-06-19T13:30:00, 	2024-06-19T14:00:00, 	-8.617, 	98.31
2024-06-19T14:00:00, 	2024-06-19T14:30:00, 	-19.253, 	62.49
2024-06-19T14:30:00, 	2024-06-19T15:00:00, 	-28.574, 	61.41
2024-06-19T15:00:00, 	2024-06-19T15:30:00, 	-34.98, 	53.71
2024-06-19T15:30:00, 	2024-06-19T16:00:00, 	-36.362, 	60.21
2024-06-19T16:00:00, 	2024-06-19T16:30:00, 	-30.562, 	72.88
2024-06-19T16:30:00, 	2024-06-19T17:00:00, 	-22.261, 	68.99
2024-06-19T17:00:00, 	2024-06-19T17:30:00, 	-19.737, 	57.53
2024-06-19T17:30:00, 	2024-06-19T18:00:00, 	-12.439, 	58.6
2024-06-19T18:00:00, 	2024-06-19T18:30:00, 	-12.382, 	61.24
2024-06-19T18:30:00, 	2024-06-19T19:00:00, 	-12.315, 	72.73
2024-06-19T19:00:00, 	2024-06-19T19:30:00, 	-7.509, 	66.45
2024-06-19T19:30:00, 	2024-06-19T20:00:00, 	-1.163, 	122.5
2024-06-19T20:00:00, 	2024-06-19T20:30:00, 	2.114, 	150.06
2024-06-19T20:30:00, 	2024-06-19T21:00:00, 	-0.566, 	125.69
2024-06-19T21:00:00, 	2024-06-19T21:30:00, 	-0.785, 	96.59
2024-06-19T21:30:00, 	2024-06-19T22:00:00, 	-1.043, 	98.79
2024-06-19T22:00:00, 	2024-06-19T22:30:00, 	-10.759, 	70.75
2024-06-19T22:30:00, 	2024-06-19T23:00:00, 	-14.367, 	73.39
2024-06-19T23:00:00, 	2024-06-19T23:30:00, 	3.632, 	128.94
2024-06-19T23:30:00, 	2024-06-20T00:00:00, 	-1.834, 	82.01
2024-06-20T00:00:00, 	2024-06-20T00:30:00, 	-2.335, 	67.47
2024-06-20T00:30:00, 	2024-06-20T01:00:00, 	-1.786, 	47.46
2024-06-20T01:00:00, 	2024-06-20T01:30:00, 	-6.25, 	56.35
2024-06-20T01:30:00, 	2024-06-20T02:00:00, 	-6.302, 	57.21
2024-06-20T02:00:00, 	2024-06-20T02:30:00, 	-3.846, 	56.08
2024-06-20T02:30:00, 	2024-06-20T03:00:00, 	-2.651, 	70.55
2024-06-20T03:00:00, 	2024-06-20T03:30:00, 	-0.945, 	71.07
2024-06-20T03:30:00, 	2024-06-20T04:00:00, 	1.105, 	104.86
2024-06-20T04:00:00, 	2024-06-20T04:30:00, 	1.173, 	101.21
2024-06-20T04:30:00, 	2024-06-20T05:00:00, 	14.778, 	152.94
2024-06-20T05:00:00, 	2024-06-20T05:30:00, 	6.26, 	148.25
2024-06-20T05:30:00, 	2024-06-20T06:00:00, 	12.758, 	151.18
2024-06-20T06:00:00, 	2024-06-20T06:30:00, 	6.534, 	134.31
2024-06-20T06:30:00, 	2024-06-20T07:00:00, 	14.69, 	147.45
2024-06-20T07:00:00, 	2024-06-20T07:30:00, 	19.434, 	148.08
2024-06-20T07:30:00, 	2024-06-20T08:00:00, 	25.727, 	145.34
2024-06-20T08:00:00, 	2024-06-20T08:30:00, 	27.234, 	175.48
2024-06-20T08:30:00, 	2024-06-20T09:00:00, 	23.183, 	166.01
2024-06-20T09:00:00, 	2024-06-20T09:30:00, 	11.95, 	150.89
2024-06-20T09:30:00, 	2024-06-20T10:00:00, 	8.863, 	149.41
2024-06-20T10:00:00, 	2024-06-20T10:30:00, 	10.055, 	150.81
2024-06-20T10:30:00, 	2024-06-20T11:00:00, 	6.257, 	149.16
2024-06-20T11:00:00, 	2024-06-20T11:30:00, 	-5.327, 	81.52
2024-06-20T11:30:00, 	2024-06-20T12:00:00, 	-11.037, 	78.6
2024-06-20T12:00:00, 	2024-06-20T12:30:00, 	-9.381, 	68.46
2024-06-20T12:30:00, 	2024-06-20T13:00:00, 	-17.809, 	63.46
2024-06-20T13:00:00, 	2024-06-20T13:30:00, 	-24.533, 	65.06
2024-06-20T13:30:00, 	2024-06-20T14:00:00, 	-25.993, 	61.62
2024-06-20T14:00:00, 	2024-06-20T14:30:00, 	-10.625, 	64.95
2024-06-20T14:30:00, 	2024-06-20T15:00:00, 	-15.578, 	71.15
2024-06-20T15:00:00, 	2024-06-20T15:30:00, 	-21.922, 	66.53
2024-06-20T15:30:00, 	2024-06-20T16:00:00, 	-14.1, 	80.54
2024-06-20T16:00:00, 	2024-06-20T16:30:00, 	-15.008, 	79.98
2024-06-20T16:30:00, 	2024-06-20T17:00:00, 	-26.364, 	72.85
2024-06-20T17:00:00, 	2024-06-20T17:30:00, 	-20.562, 	77.57
2024-06-20T17:30:00, 	2024-06-20T18:00:00, 	-18.918, 	77.33
2024-06-20T18:00:00, 	2024-06-20T18:30:00, 	-4.615, 	99.11
2024-06-20T18:30:00, 	2024-06-20T19:00:00, 	-7.287, 	85.64
2024-06-20T19:00:00, 	2024-06-20T19:30:00, 	-9.225, 	83.14
2024-06-20T19:30:00, 	2024-06-20T20:00:00, 	-8.718, 	78.23
2024-06-20T20:00:00, 	2024-06-20T20:30:00, 	-4.003, 	80.28
2024-06-20T20:30:00, 	2024-06-20T21:00:00, 	-7, 	65.84
2024-06-20T21:00:00, 	2024-06-20T21:30:00, 	-3.109, 	56.15
2024-06-20T21:30:00, 	2024-06-20T22:00:00, 	-12.984, 	70.19
